formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,strict_capped,301408,formula_exit_or_5,5,34,0.382353,0.011124,-0.036474,0.304975,0.029412,0.029412,37.968995,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301408,fixed_60,60,4,1.000000,0.165750,-0.125475,1.320980,0.000000,0.000000,74.558611,{}
gs_raw_buy,medium_x3_cooldown,301408,fixed_60,60,24,0.458333,0.033933,-0.148004,0.229273,0.000000,0.000000,51.863031,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
volume_base_breakout,long_quiet_box,301408,fixed_5,5,1,1.000000,0.309400,-0.002400,61.880000,0.000000,0.000000,80.578859,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
activity_breakout,strict_capped,301413,fixed_60,60,36,0.555556,0.215667,-0.195053,1.105684,0.000000,0.000000,67.195085,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,loose,301413,fixed_30,30,15,0.600000,0.376720,-0.204960,1.838017,0.000000,0.000000,72.190086,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
gs_raw_buy,medium_x3_cooldown,301413,fixed_60,60,15,0.666667,0.401733,-0.154420,2.601563,0.000000,0.000000,78.007814,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
volume_base_breakout,case_301511_broad,301413,formula_exit_or_20,20,8,0.875000,0.155100,-0.066600,2.328829,0.000000,0.000000,80.578708,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301418,formula_exit_or_10,10,15,0.533333,0.022013,-0.047987,0.458739,0.000000,0.000000,49.300359,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,default,301418,formula_exit_or_30,30,6,0.500000,0.007700,-0.061900,0.124394,0.000000,0.000000,35.133808,{}
gs_raw_buy,default,301418,fixed_5,5,26,0.730769,0.011604,-0.037842,0.306637,0.000000,0.000000,49.258184,{}
volume_base_breakout,case_301511_broad,301418,fixed_5,5,9,0.666667,-0.002100,-0.036133,-0.058118,0.000000,0.000000,37.191978,"{""amount_spike_ratio"": 2.2, ""base_ceiling"": 1.45, ""base_floor"": 0.78, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.4, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.5, ""spike_lookback"": 90, ""spike_ratio"": 2.2, ""warm_ret_max"": 0.28, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.8}"
activity_breakout,strict_capped,301419,fixed_15,15,35,0.628571,0.038109,-0.044143,0.863301,0.028571,0.000000,61.942219,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.5}"
gs_pullback_confirm,strict,301419,fixed_10,10,3,1.000000,0.057400,-0.047000,1.221277,0.000000,0.000000,72.264101,"{""ma_pull_high"": 0.98, ""ma_pull_low"": 0.85, ""maxlen_max"": 15, ""maxrun_max"": 6, ""rate_min"": 50, ""sellpct_max"": 50}"
gs_raw_buy,fast_x3_cooldown,301419,formula_exit_or_5,5,41,0.560976,0.024895,-0.019368,1.285354,0.000000,0.000000,55.703602,"{""ema_fallback_span"": 3, ""iterations"": 8, ""signal_cooldown_days"": 8, ""x3_ma_windows"": [3, 5, 10, 20]}"
