formula_id,variant_id,stock_code,sell_rule,holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,delay_buy_rate,delay_sell_rate,score,params
activity_breakout,local_optuna_t24_vsplit,000425,fixed_15,15,27,0.629630,0.033989,-0.035815,0.949018,0.000000,0.000000,60.628421,"{""big_bull_line"": 6.5, ""max_close_ret"": 8.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 12, ""strong_line"": 3.5, ""x15_multiplier"": 1.4}"
gs_raw_buy,local_optuna_t24_vsplit,000516,fixed_5,5,33,0.727273,0.026427,-0.032215,0.820337,0.060606,0.000000,58.527441,"{""down_adjust"": 0.97, ""ema_fallback_span"": 6, ""iterations"": 10, ""signal_cooldown_days"": 16, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 5, 10, 20]}"
activity_breakout,local_optuna_t24_vsplit,000519,formula_exit_or_60,60,38,0.500000,0.041939,-0.041068,1.021210,0.000000,0.000000,61.075786,"{""big_bull_line"": 7.0, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 10, ""strong_line"": 2.5, ""x15_multiplier"": 1.5}"
activity_breakout,local_optuna_t24_vsplit,000530,fixed_20,20,20,0.750000,0.041965,-0.083430,0.502997,0.000000,0.000000,65.997483,"{""big_bull_line"": 7.5, ""max_close_ret"": 9.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 13, ""strong_line"": 3.0, ""x15_multiplier"": 1.0}"
activity_breakout,local_optuna_t24_vsplit,000537,fixed_5,5,39,0.589744,0.018810,-0.032338,0.581668,0.000000,0.051282,49.492957,"{""big_bull_line"": 5.0, ""max_close_ret"": 13.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 7, ""strong_line"": 3.5, ""x15_multiplier"": 1.8}"
gs_raw_buy,local_optuna_t24_vsplit,000543,fixed_60,60,39,0.589744,0.048041,-0.083928,0.572406,0.000000,0.000000,64.574852,"{""down_adjust"": 0.98, ""ema_fallback_span"": 5, ""iterations"": 9, ""signal_cooldown_days"": 16, ""up_adjust"": 1.03, ""x3_ma_windows"": [3, 5, 10, 20]}"
activity_breakout,local_optuna_t24_vsplit,000545,fixed_10,10,20,0.700000,0.052205,-0.076975,0.678207,0.000000,0.000000,69.391036,"{""big_bull_line"": 6.5, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 12, ""strong_line"": 4.0, ""x15_multiplier"": 1.0}"
activity_breakout,local_optuna_t24_vsplit,000548,formula_exit_or_10,10,21,0.523810,0.037567,-0.029238,1.284853,0.000000,0.000000,60.921886,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 7, ""strong_line"": 3.5, ""x15_multiplier"": 1.3}"
activity_breakout,local_optuna_t24_vsplit,000550,fixed_15,15,14,0.642857,0.078743,-0.058893,1.337053,0.000000,0.000000,70.970978,"{""big_bull_line"": 9.0, ""max_close_ret"": 14.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.0}"
gs_pullback_confirm,local_optuna_t24_vsplit,000553,fixed_5,5,9,1.000000,0.039444,-0.016211,2.433173,0.000000,0.000000,80.420657,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.8600000000000001, ""maxlen_max"": 23, ""maxrun_max"": 10, ""rate_min"": 55, ""sellpct_max"": 55}"
gs_pullback_confirm,local_optuna_t24_vsplit,000558,formula_exit_or_30,30,28,1.000000,0.128418,-0.027346,4.695964,0.000000,0.000000,95.000000,"{""ma_pull_high"": 1.03, ""ma_pull_low"": 0.7000000000000001, ""maxlen_max"": 22, ""maxrun_max"": 8, ""rate_min"": 25, ""sellpct_max"": 55}"
activity_breakout,local_optuna_t24_vsplit,000565,fixed_20,20,13,0.692308,0.132123,-0.053862,2.453013,0.000000,0.000000,78.034298,"{""big_bull_line"": 8.5, ""max_close_ret"": 8.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 10, ""strong_line"": 4.5, ""x15_multiplier"": 1.2}"
activity_breakout,local_optuna_t24_vsplit,000567,fixed_5,5,10,0.700000,0.046080,-0.042310,1.089104,0.100000,0.000000,67.785202,"{""big_bull_line"": 8.0, ""max_close_ret"": 8.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 12, ""strong_line"": 2.5, ""x15_multiplier"": 1.1}"
activity_breakout,local_optuna_t24_vsplit,000571,fixed_60,60,71,0.661972,0.082170,-0.113952,0.721096,0.028169,0.000000,68.182945,"{""big_bull_line"": 5.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 9, ""strong_line"": 3.0, ""x15_multiplier"": 1.6}"
activity_breakout,local_optuna_t24_vsplit,000572,formula_exit_or_30,30,44,0.500000,0.042948,-0.038961,1.102316,0.022727,0.045455,61.303625,"{""big_bull_line"": 5.0, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 14, ""strong_line"": 3.0, ""x15_multiplier"": 1.4}"
activity_breakout,local_optuna_t24_vsplit,000573,fixed_60,60,47,0.553191,0.066436,-0.123121,0.539599,0.000000,0.000000,64.293742,"{""big_bull_line"": 6.0, ""max_close_ret"": 9.0, ""min_close_ret"": -0.5, ""signal_cooldown_days"": 12, ""strong_line"": 4.0, ""x15_multiplier"": 1.6}"
gs_raw_buy,local_optuna_t24_vsplit,000573,fixed_15,15,32,0.531250,0.032831,-0.083016,0.395483,0.031250,0.000000,54.018039,"{""down_adjust"": 0.98, ""ema_fallback_span"": 5, ""iterations"": 8, ""signal_cooldown_days"": 16, ""up_adjust"": 1.04, ""x3_ma_windows"": [5, 10, 20, 30]}"
activity_breakout,local_optuna_t24_vsplit,000582,fixed_15,15,13,0.769231,0.057969,-0.034254,1.692342,0.000000,0.000000,76.538634,"{""big_bull_line"": 9.0, ""max_close_ret"": 9.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 14, ""strong_line"": 3.5, ""x15_multiplier"": 1.7000000000000002}"
activity_breakout,local_optuna_t24_vsplit,000595,formula_exit_or_15,15,43,0.465116,0.078053,-0.040409,1.931572,0.023256,0.023256,68.146234,"{""big_bull_line"": 8.0, ""max_close_ret"": 8.0, ""min_close_ret"": -1.0, ""signal_cooldown_days"": 13, ""strong_line"": 4.5, ""x15_multiplier"": 1.7000000000000002}"
