profile_id,profile_name,price_mode,macd_fast,macd_slow,macd_signal,holding_days,vol_ratio_min,amt_ratio_min,price_pos_max,dif_positive,min_signals,raw_signals,selected_all_n,selected_all_win_rate,selected_all_avg_ret,selected_all_median_ret,selected_all_avg_dd,selected_all_calmar,recent_n,recent_win_rate,recent_avg_ret,recent_median_ret,recent_avg_dd,recent_calmar
macd_10_22_8_h15,"基准策略 · EMA(10,22,8)",qfq_next_close,10,22,8,15,1.0,1.42,0.6,False,5,227960,41,0.6097560975609756,0.058823523764832054,0.05390463026952322,-0.11273142737649687,0.5218023503630013,20,0.5,0.016612342780814457,0.010752589784526846,-0.1146030602307613,0.14495549025797688
macd_10_22_8_h15,"基准策略 · EMA(10,22,8)",current_model_vwap,10,22,8,15,1.0,1.42,0.6,False,5,227960,271,0.6236162361623616,0.12538009370729286,0.05906996181236864,-0.06587279273134736,1.903366906252744,20,0.55,0.03976470815417117,0.010559856275956677,-0.07258730919741412,0.5478190140100657
macd_10_22_8,"参数组 S · EMA(10,22,8)",qfq_next_close,10,22,8,15,1.0,1.42,0.6,False,5,227960,41,0.6097560975609756,0.058823523764832054,0.05390463026952322,-0.11273142737649687,0.5218023503630013,20,0.5,0.016612342780814457,0.010752589784526846,-0.1146030602307613,0.14495549025797688
macd_10_22_8,"参数组 S · EMA(10,22,8)",current_model_vwap,10,22,8,15,1.0,1.42,0.6,False,5,227960,271,0.6236162361623616,0.12538009370729286,0.05906996181236864,-0.06587279273134736,1.903366906252744,20,0.55,0.03976470815417117,0.010559856275956677,-0.07258730919741412,0.5478190140100657
macd_12_26_9,"参数组 M · EMA(12,26,9)",qfq_next_close,12,26,9,15,1.0,1.42,0.6,False,5,195884,34,0.6470588235294118,0.0711729563992865,0.10885962395262994,-0.09966371528385716,0.7141310776602626,20,0.7,0.056880250851064976,0.10311669112226396,-0.10787190725523552,0.5272943836663676
macd_12_26_9,"参数组 M · EMA(12,26,9)",current_model_vwap,12,26,9,15,1.0,1.42,0.6,False,5,195884,202,0.6039603960396039,0.10372465473870034,0.056969054087655596,-0.06606021887660475,1.570153058869662,20,0.6,0.030713020246164173,0.009546054171109377,-0.07082267097043736,0.43366085782029223
macd_14_30_11,"参数组 L · EMA(14,30,11)",qfq_next_close,14,30,11,15,1.0,1.42,0.6,False,5,165645,43,0.6976744186046512,0.08156761430963043,0.07068104975044286,-0.09528420116045273,0.8560455281802235,20,0.6,0.054527097654578895,0.026073478760045864,-0.12094777905726543,0.4508317397772291
macd_14_30_11,"参数组 L · EMA(14,30,11)",current_model_vwap,14,30,11,15,1.0,1.42,0.6,False,5,165645,170,0.5705882352941176,0.07203458491147686,0.03437804906121311,-0.07916050282678,0.9099813965192193,20,0.35,-0.016742052573292757,-0.021130568765494455,-0.0815691811265793,-0.205249732093208
optuna_best,Optuna 最优 · EMA(10/22/8),qfq_next_close,10,22,8,10,0.5231824059330973,1.2696418545772363,0.6068160957414361,False,5,228469,76,0.618421052631579,0.05053984858758589,0.02449320910670128,-0.07739821622367549,0.6529846688136742,20,0.45,0.0019174700126192551,-0.008720770912546756,-0.09388905696800336,0.020422720970269342
optuna_best,Optuna 最优 · EMA(10/22/8),current_model_vwap,10,22,8,10,0.5231824059330973,1.2696418545772363,0.6068160957414361,False,5,228469,440,0.6704545454545454,0.11582552287117488,0.049888479563515,-0.052232013607231696,2.21751977134457,20,0.6,0.014298946571183732,0.022772349071346135,-0.07295038565594122,0.19600919779399684
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",qfq_next_close,12,26,9,5,1.0,1.0,0.7,False,5,197330,466,0.5171673819742489,0.012528438764161886,0.00448873054280104,-0.061965954528433155,0.2021826155911662,20,0.7,0.023940044337380378,0.03200369052837884,-0.0458564155822659,0.522065321360153
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",current_model_vwap,12,26,9,5,1.0,1.0,0.7,False,5,197330,1966,0.6220752797558494,0.06854200493852403,0.02229182926117928,-0.04216397348421102,1.625605920755801,20,0.6,0.04458860988245285,0.033371575498757564,-0.04022623333593335,1.1084460608103386
