stock_code,formula_id,merge_decision,merge_reason,old_variant_id,new_variant_id,old_sell_rule,new_sell_rule,old_score,new_score,score_delta,old_validation_score,new_validation_score,validation_score_delta,new_signal_count,new_validation_signal_count,new_win_rate,new_validation_win_rate,new_avg_ret,new_validation_avg_ret,trials,validation_ratio,replacement_params
605122,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_cooldown,local_optuna_t24_vsplit,formula_exit_or_10,formula_exit_or_10,41.906266,85.783812,43.877546,32.944476,68.636042,35.691566,9,3,0.888889,0.666667,0.055689,0.047500,24,0.300000,"{""amount_spike_ratio"": 2.8, ""base_ceiling"": 1.3, ""base_floor"": 0.85, ""base_max_days"": 80, ""base_min_days"": 30, ""base_range_max"": 0.41000000000000003, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.9, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 17, ""spike_lookback"": 70, ""spike_ratio"": 3.2, ""warm_ret_max"": 0.26, ""warm_ret_min"": 0.019999999999999997, ""warm_vol_ratio"": 0.75}"
603617,activity_breakout,replace,passes_adoption_guardrails,default,local_optuna_t24_vsplit,fixed_15,fixed_20,35.951130,79.450802,43.499671,33.453057,46.661299,13.208242,9,3,0.888889,0.666667,0.114822,0.027867,24,0.300000,"{""big_bull_line"": 8.5, ""max_close_ret"": 8.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 6, ""strong_line"": 4.0, ""x15_multiplier"": 1.0}"
300075,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_broad,local_optuna_t24_vsplit,fixed_10,formula_exit_or_5,38.578008,80.851827,42.273818,35.068853,41.744162,6.675309,11,3,0.727273,0.666667,0.068255,0.014933,24,0.300000,"{""amount_spike_ratio"": 2.6, ""base_ceiling"": 1.3399999999999999, ""base_floor"": 0.8, ""base_max_days"": 105, ""base_min_days"": 20, ""base_range_max"": 0.29, ""breakout_max_extension"": 1.06, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.44999999999999996, ""signal_cooldown_days"": 11, ""spike_lookback"": 120, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.16, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 1.0}"
002558,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,formula_exit_or_30,fixed_60,52.659060,93.532568,40.873509,71.647607,86.157718,14.510110,9,3,1.000000,1.000000,0.443656,0.645600,24,0.300000,"{""ma_pull_high"": 0.98, ""ma_pull_low"": 0.8800000000000001, ""maxlen_max"": 24, ""maxrun_max"": 5, ""rate_min"": 30, ""sellpct_max"": 60}"
002887,activity_breakout,replace,passes_adoption_guardrails,strict_capped,local_optuna_t24_vsplit,fixed_30,fixed_5,37.595101,77.991632,40.396531,42.908396,71.154302,28.245905,19,6,0.789474,0.833333,0.058353,0.045233,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 9.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 6, ""strong_line"": 3.5, ""x15_multiplier"": 1.6}"
601669,gs_pullback_confirm,replace,passes_adoption_guardrails,loose,local_optuna_t24_vsplit,formula_exit_or_15,formula_exit_or_15,46.328282,86.638922,40.310640,-0.998898,53.669462,54.668360,15,4,0.866667,1.000000,0.042127,0.017175,24,0.300000,"{""ma_pull_high"": 0.99, ""ma_pull_low"": 0.8400000000000001, ""maxlen_max"": 15, ""maxrun_max"": 11, ""rate_min"": 30, ""sellpct_max"": 55}"
300404,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_cooldown,local_optuna_t24_vsplit,fixed_30,fixed_5,36.502666,76.186554,39.683888,26.448510,62.308025,35.859515,10,3,0.800000,0.666667,0.059120,0.053467,24,0.300000,"{""amount_spike_ratio"": 2.6, ""base_ceiling"": 1.5, ""base_floor"": 0.76, ""base_max_days"": 100, ""base_min_days"": 35, ""base_range_max"": 0.39, ""breakout_max_extension"": 1.12, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.39999999999999997, ""signal_cooldown_days"": 10, ""spike_lookback"": 90, ""spike_ratio"": 3.2, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.95}"
603727,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,fixed_10,fixed_5,40.274922,79.400622,39.125700,40.676142,71.564660,30.888518,14,4,0.928571,1.000000,0.044414,0.043750,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 10.0, ""min_close_ret"": 1.0, ""signal_cooldown_days"": 11, ""strong_line"": 4.0, ""x15_multiplier"": 1.2}"
600097,activity_breakout,replace,passes_adoption_guardrails,classic_capped,local_optuna_t24_vsplit,formula_exit_or_5,fixed_30,25.786963,64.904439,39.117476,24.506456,51.444515,26.938059,13,4,0.769231,0.750000,0.038362,0.026775,24,0.300000,"{""big_bull_line"": 9.0, ""max_close_ret"": 8.0, ""min_close_ret"": 2.0, ""signal_cooldown_days"": 9, ""strong_line"": 2.5, ""x15_multiplier"": 1.4}"
600305,volume_base_breakout,replace,passes_adoption_guardrails,case_301511_broad,local_optuna_t24_vsplit,formula_exit_or_20,fixed_5,43.022998,81.588846,38.565848,70.540814,73.017880,2.477066,11,3,0.818182,1.000000,0.040591,0.025867,24,0.300000,"{""amount_spike_ratio"": 2.6, ""base_ceiling"": 1.44, ""base_floor"": 0.76, ""base_max_days"": 75, ""base_min_days"": 30, ""base_range_max"": 0.37, ""breakout_max_extension"": 1.1, ""breakout_near_high"": 0.91, ""dry_ratio"": 0.39999999999999997, ""signal_cooldown_days"": 13, ""spike_lookback"": 70, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.3, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 1.05}"
