stock_code,strategy_id,formula_id,display_name,best_holding_days,signal_count,win_rate,avg_ret,avg_dd,calmar,effectiveness_score,effectiveness_label,untradable_rate,completion_rate,best_sell_rule,best_sell_rule_score,params
603690,formula_gs_raw_buy,gs_raw_buy,GS原始买点,10,40,0.525000,0.002288,-0.066550,0.034373,12.400000,稳定/不明显,0.025000,1.000000,fixed_10,36.815613,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603690,formula_ma_base_breakout,ma_base_breakout,均线筑底突破,20,1,1.000000,0.074300,-0.042400,,,样本不足,0.000000,1.000000,fixed_20,69.340651,{}
603690,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,1,1.000000,0.026000,-0.034500,,,样本不足,0.000000,1.000000,fixed_10,52.346975,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603693,formula_activity_breakout,activity_breakout,活跃度大牛突破,10,34,0.500000,0.020541,-0.058091,0.353602,28.900000,稳定/不明显,0.029400,1.000000,fixed_10,46.744482,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
603693,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,60,1,1.000000,0.038600,-0.057500,,,样本不足,0.000000,1.000000,fixed_60,58.235381,"{""ma_pull_high"": 1.02, ""ma_pull_low"": 0.7, ""maxrun_max"": 10, ""rate_min"": 30, ""sellpct_max"": 70}"
603693,formula_gs_raw_buy,gs_raw_buy,GS原始买点,20,31,0.612903,0.035632,-0.052529,0.678335,6.100000,稳定/不明显,0.000000,1.000000,fixed_20,59.594899,"{""ema_fallback_span"": 5, ""iterations"": 10, ""signal_cooldown_days"": 10, ""x3_ma_windows"": [5, 10, 20, 30]}"
603693,formula_volume_base_breakout,volume_base_breakout,巨量蓄势启动,10,5,0.400000,0.055800,-0.021700,2.571429,,样本不足,0.000000,1.000000,formula_exit_or_10,64.278284,"{""amount_spike_ratio"": 2.5, ""base_ceiling"": 1.3, ""base_floor"": 0.82, ""base_max_days"": 110, ""base_min_days"": 45, ""base_range_max"": 0.32, ""breakout_near_high"": 0.95, ""dry_ratio"": 0.45, ""signal_cooldown_days"": 15, ""spike_lookback"": 120, ""spike_ratio"": 2.5, ""warm_ret_max"": 0.22, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.9}"
603696,formula_activity_breakout,activity_breakout,活跃度大牛突破,20,41,0.439024,0.029107,-0.043029,0.676454,33.200000,稳定/不明显,0.048800,1.000000,formula_exit_or_20,50.618855,"{""big_bull_line"": 6.0, ""max_close_ret"": 12.0, ""min_close_ret"": 0.0, ""signal_cooldown_days"": 8, ""strong_line"": 3.0, ""x15_multiplier"": 1.2}"
603696,formula_gs_pullback_confirm,gs_pullback_confirm,GS回调确认,20,8,0.500000,-0.023150,-0.100163,-0.231124,0.000000,样本陈旧,0.000000,1.000000,fixed_20,19.953942,{}
603696,formula_gs_raw_buy,gs_raw_buy,GS原始买点,60,51,0.686275,0.101310,-0.124178,0.815841,28.600000,退化中,0.058800,1.000000,fixed_60,69.079203,{}
