profile_id,profile_name,code,name,industry,holding_days,total_n,recent_n,first_buy_date,last_buy_date,all_avg_ret,all_win_rate,all_avg_dd,all_calmar,prior_avg_ret,prior_win_rate,prior_avg_dd,prior_calmar,recent_avg_ret,recent_win_rate,recent_avg_dd,recent_calmar,ret_delta,win_delta,dd_delta,calmar_delta,ret_slope,dd_slope,trimmed_recent_avg_ret,trimmed_recent_win_rate,outlier_share,robust_after_drop_best,effectiveness_score,effectiveness_label,recent_rets,recent_dds
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",600589,大位科技,计算机,5,6,3,2024-01-08,2025-02-07,0.004482190888037955,0.3333333333333333,-0.08604048188615614,0.052093977041743386,-0.08735874517585435,0.0,-0.11388527170238089,-0.7670767595317421,0.09632312695193025,0.6666666666666666,-0.05819569206993138,1.6551590594744143,0.18368187212778458,0.6666666666666666,0.055689579632449505,2.4222358190061564,0.06102354447961596,0.01850530574578755,0.04252390611416988,0.5,0.6008481088311464,True,98.9,增强中,"[-0.0504, 0.2039, 0.1355]","[-0.0714, -0.0588, -0.0443]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",688369,致远互联,计算机,5,6,3,2022-04-20,2025-10-30,-0.005812776664492997,0.5,-0.07830882143807118,-0.07422888708764318,-0.05824966933049025,0.3333333333333333,-0.11462384215934264,-0.508181092459938,0.046624116001504255,0.6666666666666666,-0.0419938007167997,1.1102618768882282,0.10487378533199451,0.3333333333333333,0.07263004144254294,1.6184429693481661,0.02451687180747868,0.025901793775887316,0.005277183745391854,0.5,0.7002650966490067,True,96.7,增强中,"[0.1293, -0.0448, 0.0554]","[-0.0292, -0.0491, -0.0476]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",688131,皓元医药,医药生物,5,6,3,2022-03-11,2024-07-12,0.01698632549391993,0.5,-0.07900395411728335,0.21500601689762647,-0.02863151697807265,0.3333333333333333,-0.12114155120790847,-0.2363476172509462,0.0626041679659125,0.6666666666666666,-0.03686635702665823,1.6981381675613665,0.09123568494398515,0.3333333333333333,0.08427519418125023,1.9344857848123127,0.012410966411097112,0.024105698750697704,0.041126831487603294,0.5,0.5277158428526283,True,96.4,增强中,"[0.0945, 0.1056, -0.0122]","[-0.0271, -0.0337, -0.0498]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",301117,佳缘科技,计算机,5,8,3,2022-04-20,2026-03-06,-0.004101252460456242,0.5,-0.10451938081611256,-0.0392391576416993,-0.03517000330418668,0.4,-0.1467352670695915,-0.23968336996658585,0.047679998945761144,0.6666666666666666,-0.034159570393647636,1.3958020664869892,0.08285000224994782,0.2666666666666666,0.11257569667594386,1.6354854364535751,0.01584972893291837,0.02331804415468112,0.0014438711494635,0.5,0.6907204199058712,True,95.2,增强中,"[0.0628, 0.1402, -0.0599]","[-0.0046, -0.0353, -0.0626]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",688700,东威科技,机械设备,5,9,3,2022-06-28,2024-09-25,0.05144077219485085,0.4444444444444444,-0.054936608019816244,0.9363660052745811,-0.00831002014331761,0.3333333333333333,-0.06432846778754792,-0.1291810675603591,0.17094235687118775,0.6666666666666666,-0.03615288848435292,4.728318096773156,0.17925237701450536,0.3333333333333333,0.028175579303194996,4.8574991643335155,0.04639963175039399,0.011139334669923888,0.05975051561312746,0.5,0.6726910221832211,True,92.0,增强中,"[-0.0719, 0.1914, 0.3933]","[-0.0745, -0.0236, -0.0104]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",688208,道通科技,计算机,5,6,3,2022-07-07,2025-06-06,-0.017837567308781405,0.5,-0.10609326977125488,-0.1681309978214504,-0.06271840880490813,0.3333333333333333,-0.14480952501465016,-0.43310969218746487,0.027043274187345312,0.6666666666666666,-0.0673770145278596,0.4013724023964172,0.08976168299225344,0.3333333333333333,0.07743251048679056,0.834482094583882,0.022393246863256427,0.017792957697231312,0.014083196274712852,0.5,0.5824397809520154,True,89.9,增强中,"[-0.0098, 0.053, 0.038]","[-0.0824, -0.1018, -0.0179]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",300580,贝斯特,汽车,5,7,3,2022-03-24,2024-09-02,0.012669161332027615,0.5714285714285714,-0.08285840626357209,0.15290133980766044,-0.07800959025880054,0.25,-0.10968518580714781,-0.711213548892187,0.13357416345313183,1.0,-0.04708936687213778,2.836609882987535,0.2115837537119324,0.75,0.06259581893501004,3.547823431879722,0.038321098581238645,0.019822080110609097,0.02869675148130578,1.0,0.8567749394072264,True,88.0,增强中,"[0.3433, 0.0301, 0.0273]","[-0.1034, -0.0249, -0.0129]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",001298,好上好,电子,5,6,3,2023-06-08,2025-06-19,0.1081617551549592,0.8333333333333334,-0.05370868857010198,2.0138595455330037,0.010552587467962867,0.6666666666666666,-0.05716009097645009,0.18461460238596408,0.20577092284195553,1.0,-0.05025728616375386,4.0943500644163295,0.19521833537399266,0.33333333333333337,0.006902804812696228,3.9097354620303655,0.06544328348118698,0.0014231869773110386,0.16202401756508483,1.0,0.4750666896069697,True,86.7,增强中,"[0.0771, 0.2933, 0.247]","[-0.0482, -0.0496, -0.053]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",603730,岱美股份,汽车,5,6,3,2022-04-21,2025-06-26,-0.010258498859722512,0.6666666666666666,-0.06383087538188717,-0.1607137423440928,-0.03537106137294644,0.3333333333333333,-0.11238599899151142,-0.31472836198767107,0.01485406365350142,1.0,-0.015275751772262923,0.9723949351201696,0.05022512502644786,0.6666666666666667,0.09711024721924849,1.2871232971078408,0.013022558999843448,0.031021670156247887,0.01043763513009772,1.0,0.5315474887961116,True,82.1,增强中,"[0.0013, 0.0237, 0.0196]","[-0.0234, -0.0206, -0.0018]"
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",301029,怡合达,机械设备,5,6,3,2022-07-26,2025-04-24,0.03629028683427383,0.6666666666666666,-0.04311000763172013,0.8418065509125916,0.006419197448577679,0.3333333333333333,-0.05070798148507921,0.12659146076375616,0.06616137621996998,1.0,-0.03551203377836106,1.8630691960054628,0.059742178771392304,0.6666666666666667,0.01519594770671815,1.7364777352417067,0.018610937990980833,0.007005661883282938,0.04012044270833328,1.0,0.5957314775825011,True,79.9,增强中,"[0.0417, 0.0386, 0.1182]","[-0.0428, -0.041, -0.0227]"
