stock_code,formula_id,trials,validation_ratio,baseline_status,baseline_reason,baseline_investigation,baseline_variant_id,baseline_sell_rule,baseline_holding_days,baseline_source_score,baseline_score,baseline_signal_count,baseline_win_rate,baseline_avg_ret,baseline_avg_dd,baseline_calmar,baseline_delay_buy_rate,baseline_delay_sell_rate,baseline_train_signal_count,baseline_train_win_rate,baseline_train_avg_ret,baseline_train_avg_dd,baseline_train_calmar,baseline_train_delay_buy_rate,baseline_train_delay_sell_rate,baseline_train_score,baseline_validation_signal_count,baseline_validation_win_rate,baseline_validation_avg_ret,baseline_validation_avg_dd,baseline_validation_calmar,baseline_validation_delay_buy_rate,baseline_validation_delay_sell_rate,baseline_validation_score,optuna_status,optuna_reason,optuna_investigation,optuna_sell_rule,optuna_holding_days,optuna_signal_count,optuna_win_rate,optuna_avg_ret,optuna_avg_dd,optuna_calmar,optuna_delay_buy_rate,optuna_delay_sell_rate,optuna_score,optuna_train_signal_count,optuna_train_win_rate,optuna_train_avg_ret,optuna_train_avg_dd,optuna_train_calmar,optuna_train_delay_buy_rate,optuna_train_delay_sell_rate,optuna_train_score,optuna_validation_signal_count,optuna_validation_win_rate,optuna_validation_avg_ret,optuna_validation_avg_dd,optuna_validation_calmar,optuna_validation_delay_buy_rate,optuna_validation_delay_sell_rate,optuna_validation_score,score_delta,validation_score_delta,execution_model,optuna_params
600739,gs_raw_buy,24,0.300000,ok,,,fast_x3_cooldown,formula_exit_or_15,15,49.108886,49.108886,46,0.478261,0.020035,-0.021117,0.948734,0.000000,0.000000,32,0.375000,0.018828,-0.022863,0.823537,0.000000,0.000000,44.781750,14,0.714286,0.022793,-0.017129,1.330692,0.000000,0.000000,59.478461,ok,,,formula_exit_or_15,15,34,0.500000,0.025171,-0.020009,1.257974,0.000000,0.000000,53.875166,24,0.416667,0.023896,-0.021000,1.137897,0.000000,0.000000,50.137401,10,0.700000,0.028230,-0.017630,1.601248,0.000000,0.000000,62.420920,4.766280,2.942459,vwap_tradable_v1,"{""down_adjust"": 0.99, ""ema_fallback_span"": 6, ""iterations"": 6, ""signal_cooldown_days"": 15, ""up_adjust"": 1.01, ""x3_ma_windows"": [3, 5, 10, 20]}"
000717,gs_pullback_confirm,24,0.300000,ok,,,loose,formula_exit_or_60,60,-13.557984,-13.557984,4,0.000000,-0.053650,-0.177450,-0.302339,0.000000,0.000000,3,0.000000,-0.064833,-0.174767,-0.370971,0.000000,0.000000,-15.697136,1,0.000000,-0.020100,-0.185500,-0.108356,0.000000,0.000000,-5.012920,ok,,,formula_exit_or_60,60,5,0.000000,-0.043940,-0.176560,-0.248867,0.000000,0.000000,-8.793195,3,0.000000,-0.064833,-0.174767,-0.370971,0.000000,0.000000,-15.697136,2,0.000000,-0.012600,-0.179250,-0.070293,0.000000,0.000000,2.190818,4.764789,7.203738,vwap_tradable_v1,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.68, ""maxlen_max"": 22, ""maxrun_max"": 7, ""rate_min"": 50, ""sellpct_max"": 65}"
600516,gs_pullback_confirm,24,0.300000,ok,,,strict,fixed_60,60,61.778501,61.778501,5,0.800000,0.043260,-0.125220,0.345472,0.000000,0.000000,3,0.666667,0.012067,-0.131833,0.091530,0.000000,0.000000,37.648700,2,1.000000,0.090050,-0.115300,0.781006,0.000000,0.000000,67.747313,ok,,,fixed_60,60,2,1.000000,0.073850,-0.136750,0.540037,0.000000,0.000000,66.542465,1,1.000000,0.063100,-0.149400,0.422356,0.000000,0.000000,62.690639,1,1.000000,0.084600,-0.124100,0.681708,0.000000,0.000000,63.987400,4.763964,-3.759912,vwap_tradable_v1,"{""ma_pull_high"": 0.96, ""ma_pull_low"": 0.8800000000000001, ""maxlen_max"": 14, ""maxrun_max"": 10, ""rate_min"": 35, ""sellpct_max"": 65}"
300880,ma_base_breakout,24,0.300000,ok,,,strict_120_180,fixed_30,30,77.481411,77.481411,1,1.000000,0.291400,-0.086200,3.380510,0.000000,0.000000,1,1.000000,0.291400,-0.086200,3.380510,0.000000,0.000000,77.481411,,,,,,,,,ok,,,fixed_30,30,2,1.000000,0.276200,-0.075050,3.680213,0.000000,0.000000,82.243348,1,1.000000,0.291400,-0.086200,3.380510,0.000000,0.000000,77.481411,1,1.000000,0.261000,-0.063900,4.084507,0.000000,0.000000,80.578859,4.761937,,vwap_tradable_v1,"{""below_days_min"": 50, ""breakout_recent_days"": 4, ""long_ma"": 180, ""ma5_rising_min"": 9, ""mid_ma"": 120, ""price_top_buffer"": 1.05, ""short_ma"": 10}"
605118,volume_base_breakout,24,0.300000,ok,,,strict_two_month_box,formula_exit_or_5,5,68.941881,68.941881,6,0.666667,0.050067,-0.030233,1.656009,0.000000,0.000000,4,0.500000,0.021875,-0.036525,0.598905,0.000000,0.000000,41.885734,2,1.000000,0.106450,-0.017650,6.031161,0.000000,0.000000,83.842282,ok,,,fixed_60,60,6,0.833333,0.197383,-0.101683,1.941157,0.166667,0.000000,73.700956,4,1.000000,0.235425,-0.080050,2.940974,0.000000,0.000000,82.658581,2,0.500000,0.121300,-0.144950,0.836840,0.500000,0.000000,48.026484,4.759075,-35.815799,vwap_tradable_v1,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.24, ""base_floor"": 0.88, ""base_max_days"": 70, ""base_min_days"": 45, ""base_range_max"": 0.31, ""breakout_max_extension"": 1.12, ""breakout_near_high"": 0.9400000000000001, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 10, ""spike_lookback"": 120, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.16, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.85}"
601088,gs_raw_buy,24,0.300000,ok,,,wide_band_cooldown,fixed_60,60,69.947361,69.947361,36,0.638889,0.049761,-0.042169,1.180028,0.000000,0.000000,25,0.680000,0.056392,-0.036952,1.526088,0.000000,0.000000,73.030439,11,0.545455,0.034691,-0.054027,0.642100,0.000000,0.000000,56.919591,ok,,,fixed_60,60,35,0.714286,0.059837,-0.036154,1.655050,0.000000,0.000000,74.703820,25,0.760000,0.066828,-0.029492,2.265970,0.000000,0.000000,79.129852,10,0.600000,0.042360,-0.052810,0.802121,0.000000,0.000000,62.490285,4.756460,5.570694,vwap_tradable_v1,"{""down_adjust"": 0.98, ""ema_fallback_span"": 3, ""iterations"": 12, ""signal_cooldown_days"": 13, ""up_adjust"": 1.02, ""x3_ma_windows"": [3, 8, 13, 21]}"
688332,activity_breakout,24,0.300000,ok,,,strict_capped,fixed_5,5,66.207177,66.207177,42,0.619048,0.107345,-0.203633,0.527150,0.000000,0.000000,29,0.551724,0.071310,-0.225614,0.316073,0.000000,0.000000,63.132087,13,0.769231,0.187731,-0.154600,1.214300,0.000000,0.000000,74.148423,ok,,,fixed_60,60,43,0.674419,0.273249,-0.238407,1.146144,0.000000,0.000000,70.963280,30,0.700000,0.311567,-0.261583,1.191080,0.000000,0.000000,71.955400,13,0.615385,0.184823,-0.184923,0.999459,0.000000,0.000000,68.458835,4.756104,-5.689588,vwap_tradable_v1,"{""big_bull_line"": 8.5, ""max_close_ret"": 14.0, ""min_close_ret"": 0.5, ""signal_cooldown_days"": 11, ""strong_line"": 3.5, ""x15_multiplier"": 1.8}"
600862,gs_raw_buy,24,0.300000,ok,,,fast_x3_cooldown,formula_exit_or_30,30,40.740714,40.740714,52,0.403846,0.012815,-0.028894,0.443527,0.000000,0.000000,36,0.444444,0.019361,-0.024992,0.774703,0.000000,0.000000,46.887402,16,0.312500,-0.001913,-0.037675,-0.050763,0.000000,0.000000,28.164934,ok,,,formula_exit_or_30,30,36,0.472222,0.017189,-0.031450,0.546547,0.000000,0.000000,45.493844,25,0.560000,0.030636,-0.025716,1.191321,0.000000,0.000000,58.074603,11,0.272727,-0.013373,-0.044482,-0.300634,0.000000,0.000000,19.992287,4.753130,-8.172648,vwap_tradable_v1,"{""down_adjust"": 0.96, ""ema_fallback_span"": 4, ""iterations"": 8, ""signal_cooldown_days"": 16, ""up_adjust"": 1.04, ""x3_ma_windows"": [3, 5, 10, 20]}"
002382,volume_base_breakout,24,0.300000,ok,,,strict_two_month_box,formula_exit_or_20,20,64.125944,64.125944,7,0.428571,0.052400,-0.027486,1.906445,0.000000,0.000000,5,0.200000,-0.000480,-0.027620,-0.017379,0.000000,0.000000,20.094248,2,1.000000,0.184600,-0.027150,6.799263,0.000000,0.000000,83.842282,ok,,,fixed_30,30,5,0.800000,0.049940,-0.045500,1.097582,0.000000,0.000000,68.879053,3,1.000000,0.081567,-0.037333,2.184821,0.000000,0.000000,77.081825,2,0.500000,0.002500,-0.057750,0.043290,0.000000,0.000000,25.308732,4.753109,-58.533550,vwap_tradable_v1,"{""amount_spike_ratio"": 2.4, ""base_ceiling"": 1.48, ""base_floor"": 0.8, ""base_max_days"": 95, ""base_min_days"": 50, ""base_range_max"": 0.43, ""breakout_max_extension"": 1.08, ""breakout_near_high"": 0.93, ""dry_ratio"": 0.35, ""signal_cooldown_days"": 9, ""spike_lookback"": 70, ""spike_ratio"": 2.4, ""warm_ret_max"": 0.16, ""warm_ret_min"": 0.03, ""warm_vol_ratio"": 0.8}"
300263,gs_pullback_confirm,24,0.300000,ok,,,loose,fixed_20,20,20.392167,20.392167,8,0.500000,-0.022700,-0.120437,-0.188480,0.000000,0.000000,6,0.666667,-0.015333,-0.114783,-0.133585,0.000000,0.000000,27.327245,2,0.000000,-0.044800,-0.137400,-0.326055,0.000000,0.000000,-15.187994,ok,,,formula_exit_or_20,20,6,0.666667,-0.019200,-0.104350,-0.183996,0.000000,0.000000,25.141856,4,1.000000,0.014125,-0.073800,0.191396,0.000000,0.000000,50.973188,2,0.000000,-0.085850,-0.165450,-0.518888,0.000000,0.000000,-18.752157,4.749689,-3.564163,vwap_tradable_v1,"{""ma_pull_high"": 1.04, ""ma_pull_low"": 0.8800000000000001, ""maxlen_max"": 21, ""maxrun_max"": 7, ""rate_min"": 25, ""sellpct_max"": 40}"
