stock_code,formula_id,trials,validation_ratio,baseline_status,baseline_reason,baseline_variant_id,baseline_sell_rule,baseline_holding_days,baseline_source_score,baseline_score,baseline_signal_count,baseline_win_rate,baseline_avg_ret,baseline_avg_dd,baseline_calmar,baseline_delay_buy_rate,baseline_delay_sell_rate,baseline_train_signal_count,baseline_train_win_rate,baseline_train_avg_ret,baseline_train_avg_dd,baseline_train_calmar,baseline_train_delay_buy_rate,baseline_train_delay_sell_rate,baseline_train_score,baseline_validation_signal_count,baseline_validation_win_rate,baseline_validation_avg_ret,baseline_validation_avg_dd,baseline_validation_calmar,baseline_validation_delay_buy_rate,baseline_validation_delay_sell_rate,baseline_validation_score,optuna_status,optuna_reason,optuna_sell_rule,optuna_holding_days,optuna_signal_count,optuna_win_rate,optuna_avg_ret,optuna_avg_dd,optuna_calmar,optuna_delay_buy_rate,optuna_delay_sell_rate,optuna_score,optuna_train_signal_count,optuna_train_win_rate,optuna_train_avg_ret,optuna_train_avg_dd,optuna_train_calmar,optuna_train_delay_buy_rate,optuna_train_delay_sell_rate,optuna_train_score,optuna_validation_signal_count,optuna_validation_win_rate,optuna_validation_avg_ret,optuna_validation_avg_dd,optuna_validation_calmar,optuna_validation_delay_buy_rate,optuna_validation_delay_sell_rate,optuna_validation_score,score_delta,validation_score_delta,execution_model,optuna_params,adoption_decision,adoption_reason
301511,gs_pullback_confirm,24,0.300000,missing_baseline_result,stock_formula_best.csv has no row for this stock/formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_optuna_result,"{""failure_counts"": {""no_entry_signal"": 24}, ""failure_examples"": {""no_entry_signal"": ""formula produced no entry signals""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,vwap_tradable_v1,{},reject,baseline_status=missing_baseline_result; optuna_status=missing_optuna_result
301511,ma_base_breakout,24,0.300000,missing_baseline_result,stock_formula_best.csv has no row for this stock/formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing_optuna_result,"{""failure_counts"": {""no_entry_signal"": 24}, ""failure_examples"": {""no_entry_signal"": ""formula produced no entry signals""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,vwap_tradable_v1,{},reject,baseline_status=missing_baseline_result; optuna_status=missing_optuna_result
301658,gs_pullback_confirm,24,0.300000,ok,,loose,fixed_30,30,-19.499149,-19.499149,2,0.000000,-0.178800,-0.267550,-0.668286,0.000000,0.000000,1,0.000000,-0.196800,-0.284500,-0.691740,0.000000,0.000000,-22.879841,1,0.000000,-0.160800,-0.250600,-0.641660,0.000000,0.000000,-22.629441,ok,,fixed_30,30,2,0.000000,-0.178800,-0.267550,-0.668286,0.000000,0.000000,-19.499149,1,0.000000,-0.196800,-0.284500,-0.691740,0.000000,0.000000,-22.879841,1,0.000000,-0.160800,-0.250600,-0.641660,0.000000,0.000000,-22.629441,0.000000,0.000000,vwap_tradable_v1,"{""ma_pull_high"": 1.01, ""ma_pull_low"": 0.76, ""maxlen_max"": 24, ""maxrun_max"": 7, ""rate_min"": 25, ""sellpct_max"": 40}",reject,baseline_score<0.0; delta<3.0; signals<6; win_rate<0.45; avg_ret<=0; validation_signals<3; validation_win_rate<0.45; validation_avg_ret<=0
002718,gs_pullback_confirm,24,0.300000,ok,,strict,fixed_10,10,86.157718,86.157718,3,1.000000,0.173700,-0.042267,4.109621,0.000000,0.000000,2,1.000000,0.124450,-0.045250,2.750276,0.000000,0.000000,77.593663,1,1.000000,0.272200,-0.036300,7.498623,0.000000,0.000000,80.578859,ok,,formula_exit_or_60,60,11,1.000000,0.206873,-0.093236,2.218799,0.000000,0.000000,86.093994,8,1.000000,0.270600,-0.049162,5.504195,0.000000,0.000000,92.684564,3,1.000000,0.036933,-0.210767,0.175233,0.000000,0.000000,60.500551,-0.063724,-20.078308,vwap_tradable_v1,"{""ma_pull_high"": 0.96, ""ma_pull_low"": 0.76, ""maxlen_max"": 13, ""maxrun_max"": 12, ""rate_min"": 35, ""sellpct_max"": 55}",reject,delta<3.0; validation_delta<0.0
301658,activity_breakout,24,0.300000,ok,,classic_capped,fixed_30,30,65.786464,65.786464,11,0.545455,0.086800,-0.098127,0.884565,0.000000,0.000000,8,0.375000,-0.021563,-0.106338,-0.202774,0.000000,0.000000,17.139443,3,1.000000,0.375767,-0.076233,4.929165,0.000000,0.000000,86.157718,ok,,fixed_15,15,4,0.750000,0.061050,-0.063250,0.965217,0.000000,0.000000,65.279796,3,0.666667,0.058067,-0.071367,0.813638,0.000000,0.000000,60.225910,1,1.000000,0.070000,-0.038900,1.799486,0.000000,0.000000,69.576288,-0.506668,-16.581430,vwap_tradable_v1,"{""big_bull_line"": 8.0, ""max_close_ret"": 10.0, ""min_close_ret"": 1.5, ""signal_cooldown_days"": 10, ""strong_line"": 4.0, ""x15_multiplier"": 1.0}",reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0
688700,gs_raw_buy,24,0.300000,ok,,medium_x3_cooldown,fixed_15,15,73.560493,73.560493,31,0.709677,0.126735,-0.087161,1.454034,0.000000,0.000000,22,0.636364,0.150945,-0.099595,1.515586,0.000000,0.000000,71.668838,9,0.888889,0.067556,-0.056767,1.190057,0.000000,0.000000,76.149519,ok,,fixed_15,15,43,0.651163,0.110930,-0.077037,1.439957,0.000000,0.000000,71.734666,30,0.566667,0.132080,-0.087240,1.513984,0.000000,0.000000,69.569922,13,0.846154,0.062123,-0.053492,1.161346,0.000000,0.000000,76.191345,-1.825826,0.041827,vwap_tradable_v1,"{""down_adjust"": 0.99, ""ema_fallback_span"": 5, ""iterations"": 6, ""signal_cooldown_days"": 7, ""up_adjust"": 1.01, ""x3_ma_windows"": [3, 5, 10, 20]}",reject,delta<3.0
688700,volume_base_breakout,24,0.300000,ok,,case_301511_cooldown,fixed_5,5,85.680982,85.680982,4,1.000000,0.107250,-0.030250,3.545455,0.000000,0.000000,3,1.000000,0.075633,-0.033433,2.262213,0.000000,0.000000,77.468785,1,1.000000,0.202100,-0.020700,9.763285,0.000000,0.000000,80.578859,ok,,fixed_10,10,2,1.000000,0.159000,-0.038050,4.178712,0.000000,0.000000,83.842282,1,1.000000,0.163900,-0.031700,5.170347,0.000000,0.000000,80.578859,1,1.000000,0.154100,-0.044400,3.470721,0.000000,0.000000,77.932463,-1.838700,-2.646396,vwap_tradable_v1,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.5, ""base_floor"": 0.83, ""base_max_days"": 75, ""base_min_days"": 25, ""base_range_max"": 0.31, ""breakout_max_extension"": 1.08, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.35, ""signal_cooldown_days"": 16, ""spike_lookback"": 90, ""spike_ratio"": 2.0, ""warm_ret_max"": 0.2, ""warm_ret_min"": 0.0, ""warm_vol_ratio"": 0.75}",reject,delta<3.0; signals<6; validation_signals<3; validation_delta<0.0
002718,gs_raw_buy,24,0.300000,ok,,medium_x3_cooldown,formula_exit_or_30,30,76.513540,76.513540,33,0.636364,0.087094,-0.035055,2.484526,0.000000,0.000000,23,0.565217,0.022022,-0.035613,0.618362,0.000000,0.000000,51.059199,10,0.800000,0.236760,-0.033770,7.010956,0.000000,0.000000,88.299681,ok,,fixed_60,60,35,0.771429,0.104546,-0.124760,0.837975,0.000000,0.000000,72.332730,25,0.720000,0.044548,-0.128044,0.347912,0.000000,0.000000,65.613558,10,0.900000,0.254540,-0.116550,2.183955,0.000000,0.000000,82.219458,-4.180810,-6.080223,vwap_tradable_v1,"{""down_adjust"": 0.96, ""ema_fallback_span"": 3, ""iterations"": 7, ""signal_cooldown_days"": 7, ""up_adjust"": 1.01, ""x3_ma_windows"": [5, 10, 20, 30]}",reject,delta<3.0; validation_delta<0.0
301511,gs_raw_buy,24,0.300000,ok,,wide_band_cooldown,formula_exit_or_20,20,57.485391,57.485391,25,0.360000,0.048332,-0.095920,0.503878,0.000000,0.000000,17,0.294118,-0.030724,-0.110159,-0.278902,0.000000,0.000000,12.067254,8,0.500000,0.216325,-0.065662,3.294498,0.000000,0.000000,74.157056,ok,,formula_exit_or_60,60,28,0.392857,0.019418,-0.076436,0.254042,0.000000,0.000000,42.764851,20,0.400000,0.031750,-0.081690,0.388664,0.000000,0.000000,49.818322,8,0.375000,-0.011413,-0.063300,-0.180292,0.000000,0.000000,22.326853,-14.720540,-51.830203,vwap_tradable_v1,"{""down_adjust"": 0.98, ""ema_fallback_span"": 7, ""iterations"": 10, ""signal_cooldown_days"": 6, ""up_adjust"": 1.02, ""x3_ma_windows"": [3, 8, 13, 21]}",reject,delta<3.0; win_rate<0.45; validation_win_rate<0.45; validation_avg_ret<=0; validation_delta<0.0
002718,volume_base_breakout,24,0.300000,ok,,default_broad,fixed_60,60,80.719134,80.719134,43,0.744186,0.298944,-0.109695,2.725222,0.023256,0.000000,30,0.633333,0.040767,-0.134420,0.303278,0.000000,0.000000,60.899725,13,1.000000,0.894738,-0.052638,16.997808,0.076923,0.000000,94.230769,ok,,formula_exit_or_5,5,9,0.777778,0.020956,-0.026456,0.792104,0.000000,0.000000,56.304200,6,0.833333,0.021917,-0.022867,0.958455,0.000000,0.000000,56.412444,3,0.666667,0.019033,-0.033633,0.565907,0.000000,0.000000,43.503919,-24.414934,-50.726851,vwap_tradable_v1,"{""amount_spike_ratio"": 3.0, ""base_ceiling"": 1.26, ""base_floor"": 0.83, ""base_max_days"": 90, ""base_min_days"": 25, ""base_range_max"": 0.35, ""breakout_max_extension"": 1.09, ""breakout_near_high"": 0.92, ""dry_ratio"": 0.55, ""signal_cooldown_days"": 14, ""spike_lookback"": 90, ""spike_ratio"": 3.2, ""warm_ret_max"": 0.3, ""warm_ret_min"": 0.01, ""warm_vol_ratio"": 0.95}",reject,delta<3.0; validation_delta<0.0
