dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,976,0.7879,0.2088,0.1879,-0.0419,-0.0215,6.421,4.978,3.922
below_zero,爆量,额爆,高位,4,487,0.77,0.1917,0.1625,-0.0546,-0.0337,5.758,3.51,2.702
below_zero,平量,额平,高位,4,1704,0.7359,0.167,0.1438,-0.0462,-0.032,5.638,3.611,2.658
below_zero,缩量,额减,高位,4,451,0.7051,0.1295,0.0904,-0.0454,-0.033,5.063,2.852,2.011
above_zero,平量,额平,新高,4,220,0.7091,0.1328,0.1002,-0.0484,-0.0251,5.07,2.742,1.945
above_zero,平量,额平,高位,4,493,0.6978,0.144,0.0806,-0.0591,-0.0398,3.917,2.437,1.7
below_zero,温量,额温,中位,4,1095,0.6256,0.1458,0.099,-0.0615,-0.051,4.771,2.37,1.483
below_zero,缩量,额减,中位,1,727,0.7428,0.089,0.059,-0.0457,-0.0256,4.212,1.947,1.446
above_zero,温量,额温,高位,4,270,0.6296,0.1437,0.0594,-0.0663,-0.0537,3.078,2.166,1.364
below_zero,爆量,额爆,中位,4,390,0.6667,0.1421,0.1137,-0.0703,-0.0616,4.835,2.021,1.347
below_zero,平量,额平,中位,1,288,0.7188,0.0781,0.0679,-0.0464,-0.028,4.414,1.683,1.21
below_zero,平量,额平,中位,4,2859,0.5946,0.1134,0.037,-0.0612,-0.0513,3.881,1.851,1.101
below_zero,缩量,额减,中位,?,2612,0.6926,0.0767,0.0527,-0.0525,-0.0345,3.779,1.459,1.011
below_zero,平量,额减,中位,?,286,0.6923,0.0746,0.0448,-0.0544,-0.0342,3.827,1.372,0.95
below_zero,缩量,额减,中位,4,1047,0.5874,0.0971,0.0313,-0.0607,-0.0507,3.387,1.6,0.94
below_zero,温量,额温,中位,?,1454,0.632,0.0845,0.0489,-0.0642,-0.0477,3.319,1.317,0.832
below_zero,平量,额平,中位,?,5987,0.6516,0.0711,0.046,-0.0584,-0.0389,3.306,1.219,0.794
below_zero,温量,额温,高位,?,1552,0.6147,0.0661,0.0302,-0.0515,-0.0336,3.099,1.284,0.789
below_zero,缩量,额减,高位,1,623,0.6677,0.0476,0.0266,-0.0417,-0.022,3.183,1.142,0.763
below_zero,温量,额温,中位,1.5,251,0.6454,0.0797,0.0491,-0.0688,-0.0505,3.167,1.158,0.748
below_zero,缩量,额减,中位,3,496,0.6714,0.0716,0.0513,-0.0682,-0.0436,3.211,1.049,0.704
below_zero,缩量,额减,高位,?,1012,0.6443,0.048,0.0298,-0.047,-0.0298,2.781,1.022,0.659
below_zero,缩量,额减,高位,2,784,0.6454,0.0568,0.0346,-0.0568,-0.0406,3.381,1.001,0.646
below_zero,平量,额平,深底,?,353,0.6487,0.0726,0.0548,-0.0766,-0.0504,3.062,0.948,0.615
below_zero,温量,额温,高位,3,530,0.6189,0.062,0.037,-0.0628,-0.0388,2.878,0.987,0.611
below_zero,温量,额温,高位,1.5,583,0.5712,0.0683,0.0233,-0.0642,-0.0477,1.271,1.064,0.607
below_zero,平量,额平,高位,?,4193,0.6086,0.0481,0.0239,-0.0491,-0.0315,2.566,0.979,0.596
below_zero,平量,额平,中位,3,1576,0.6275,0.0656,0.0396,-0.0734,-0.0495,2.572,0.893,0.561
below_zero,爆量,额爆,中位,?,434,0.6083,0.0664,0.03,-0.076,-0.0532,2.716,0.874,0.532
below_zero,平量,额平,高位,2,2870,0.5906,0.0561,0.026,-0.0624,-0.0475,1.875,0.898,0.53
below_zero,爆量,额爆,高位,?,621,0.5781,0.0545,0.0268,-0.0595,-0.0395,2.663,0.916,0.53
below_zero,平量,额平,高位,1,320,0.5906,0.0404,0.0196,-0.0464,-0.0293,2.725,0.871,0.514
below_zero,缩量,额减,高位,3,416,0.6442,0.0407,0.0363,-0.0558,-0.0304,2.52,0.731,0.471
below_zero,平量,额平,深底,4,273,0.5165,0.0761,0.0133,-0.0853,-0.0784,2.781,0.892,0.461
below_zero,平量,额平,高位,3,1374,0.6114,0.0409,0.0277,-0.0562,-0.0354,2.248,0.728,0.445
below_zero,爆量,额爆,中位,1.5,257,0.5447,0.0694,0.0167,-0.0874,-0.0734,1.95,0.794,0.433
below_zero,爆量,额爆,高位,3,310,0.5742,0.0492,0.0175,-0.0663,-0.0453,2.455,0.742,0.426
above_zero,温量,额温,新高,1.5,455,0.5473,0.0518,0.0164,-0.0712,-0.054,2.157,0.728,0.398
below_zero,温量,额温,中位,3,777,0.5817,0.0601,0.0288,-0.0891,-0.0689,2.499,0.674,0.392
