dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,缩量,额减,深底,?,218,0.5872,0.0448,0.0232,-0.0655,-0.0462,3.173,0.684,0.402
below_zero,缩量,额减,高位,2,797,0.5571,0.0337,0.0141,-0.0493,-0.0366,3.524,0.683,0.381
below_zero,爆量,额爆,中位,1.5,266,0.5038,0.0529,0.0031,-0.074,-0.0591,2.165,0.715,0.36
above_zero,温量,额温,新高,1.5,465,0.557,0.0389,0.0134,-0.0605,-0.0454,2.761,0.642,0.358
below_zero,爆量,额爆,高位,3,319,0.558,0.0347,0.0098,-0.0587,-0.0393,3.091,0.592,0.331
below_zero,平量,额平,高位,3,1395,0.5799,0.0265,0.018,-0.0486,-0.0311,2.869,0.546,0.317
below_zero,爆量,额爆,中位,?,469,0.5757,0.0325,0.0198,-0.0633,-0.0448,3.061,0.514,0.296
below_zero,温量,额温,中位,3,823,0.5407,0.0413,0.0168,-0.0762,-0.0589,2.98,0.542,0.293
below_zero,爆量,额爆,高位,1.5,870,0.5391,0.0312,0.0089,-0.0654,-0.051,2.375,0.477,0.257
below_zero,缩量,额减,高位,3,426,0.5845,0.0185,0.0162,-0.0493,-0.0287,2.284,0.375,0.219
above_zero,温量,额温,新高,?,1005,0.5005,0.0257,0.0007,-0.0597,-0.0444,1.863,0.431,0.216
below_zero,爆量,额爆,高位,2,513,0.5049,0.0287,0.0014,-0.072,-0.0554,2.29,0.399,0.202
above_zero,平量,额平,高位,?,1830,0.5164,0.0233,0.0046,-0.0632,-0.0467,1.766,0.369,0.191
above_zero,温量,额温,高位,1.5,397,0.5264,0.0243,0.0049,-0.0701,-0.0569,2.148,0.347,0.183
below_zero,温量,额温,高位,2,1242,0.4903,0.0245,-0.0017,-0.0669,-0.0538,2.132,0.366,0.179
above_zero,平量,额平,新高,?,1574,0.4981,0.0191,0.0,-0.0574,-0.0418,1.803,0.333,0.166
below_zero,爆量,额爆,新高,1.5,294,0.4932,0.0219,-0.0031,-0.0693,-0.0581,2.005,0.315,0.156
above_zero,爆量,额爆,新高,1.5,1153,0.4744,0.0221,-0.0059,-0.0742,-0.0598,1.662,0.298,0.142
below_zero,爆量,额爆,中位,3,356,0.5112,0.0219,0.0026,-0.0863,-0.072,1.756,0.253,0.13
above_zero,温量,额温,高位,?,772,0.4935,0.0173,-0.001,-0.07,-0.0548,1.466,0.247,0.122
above_zero,爆量,额爆,新高,?,558,0.4606,0.0147,-0.0082,-0.0654,-0.051,1.338,0.225,0.104
above_zero,爆量,额爆,高位,1.5,357,0.4846,0.015,-0.0078,-0.0739,-0.0598,1.278,0.202,0.098
above_zero,缩量,额减,新高,2,326,0.4202,0.0152,-0.0253,-0.0894,-0.0707,0.866,0.17,0.071
above_zero,平量,额平,新高,2,3511,0.4588,0.0107,-0.0111,-0.0808,-0.0645,0.844,0.133,0.061
above_zero,爆量,额爆,新高,2,2200,0.4314,0.0125,-0.0185,-0.0892,-0.0744,0.821,0.14,0.06
above_zero,缩量,额减,高位,2,520,0.4942,0.008,-0.0011,-0.0772,-0.0598,0.667,0.103,0.051
above_zero,爆量,额爆,高位,?,217,0.4747,0.0064,-0.0106,-0.0671,-0.0537,0.691,0.095,0.045
above_zero,温量,额温,新高,2,3052,0.4404,0.0089,-0.0191,-0.089,-0.0733,0.634,0.1,0.044
above_zero,平量,额平,高位,2,2906,0.4577,0.0077,-0.0148,-0.0873,-0.0697,0.583,0.088,0.04
above_zero,平量,额平,中位,?,228,0.4342,0.0075,-0.0239,-0.0883,-0.0676,0.448,0.085,0.037
above_zero,温量,额爆,新高,2,399,0.4386,0.0071,-0.0191,-0.1011,-0.08,0.458,0.07,0.031
above_zero,温量,额温,高位,2,1615,0.426,0.0013,-0.024,-0.0954,-0.0801,0.09,0.013,0.006
above_zero,爆量,额爆,高位,2,625,0.3984,-0.0007,-0.0288,-0.0982,-0.0809,-0.051,-0.008,-0.003
above_zero,平量,额温,新高,2,558,0.3996,-0.0014,-0.0397,-0.1117,-0.0979,-0.086,-0.012,-0.005
above_zero,平量,额温,新高,3,295,0.3559,-0.0025,-0.0386,-0.1122,-0.0974,-0.155,-0.022,-0.008
above_zero,温量,额爆,新高,3,234,0.3846,-0.0055,-0.0357,-0.1115,-0.1032,-0.418,-0.049,-0.019
above_zero,平量,额平,高位,3,1613,0.4526,-0.0053,-0.0122,-0.0917,-0.0703,-0.406,-0.058,-0.026
above_zero,平量,额平,中位,3,366,0.3962,-0.0092,-0.0322,-0.1123,-0.0952,-0.579,-0.082,-0.032
above_zero,温量,额温,新高,3,1690,0.4112,-0.0084,-0.0321,-0.1032,-0.0931,-0.614,-0.081,-0.033
above_zero,平量,额平,新高,3,1826,0.4031,-0.0092,-0.0254,-0.0947,-0.0837,-0.684,-0.097,-0.039
above_zero,爆量,额爆,新高,3,1440,0.3583,-0.0154,-0.046,-0.1092,-0.0977,-1.002,-0.141,-0.05
above_zero,缩量,额减,高位,3,211,0.4265,-0.0106,-0.0219,-0.0867,-0.063,-0.819,-0.122,-0.052
above_zero,温量,额温,高位,3,905,0.389,-0.0231,-0.0409,-0.1056,-0.0917,-1.808,-0.219,-0.085
above_zero,爆量,额爆,高位,3,317,0.3565,-0.0282,-0.0387,-0.1176,-0.1028,-2.023,-0.24,-0.085
above_zero,温量,额温,中位,3,235,0.3489,-0.0408,-0.0524,-0.1288,-0.1115,-2.884,-0.317,-0.111
