dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,990,0.7687,0.1406,0.1354,-0.0372,-0.0203,9.726,3.782,2.907
below_zero,平量,额平,高位,4,1745,0.7089,0.1166,0.0979,-0.0405,-0.0291,7.893,2.878,2.04
below_zero,爆量,额爆,高位,4,503,0.7217,0.1246,0.0997,-0.0481,-0.0302,7.307,2.589,1.868
above_zero,平量,额平,新高,4,221,0.6968,0.0955,0.0739,-0.0412,-0.0221,7.183,2.319,1.616
below_zero,缩量,额减,高位,4,454,0.674,0.081,0.0561,-0.039,-0.028,6.826,2.078,1.401
below_zero,温量,额温,中位,4,1112,0.6394,0.112,0.0642,-0.0525,-0.0448,7.211,2.132,1.363
below_zero,缩量,额减,中位,1,793,0.7125,0.0681,0.0416,-0.0372,-0.0237,6.143,1.833,1.306
above_zero,平量,额平,高位,4,493,0.6734,0.0892,0.0503,-0.05,-0.0347,6.366,1.785,1.202
above_zero,温量,额温,高位,4,272,0.5956,0.1034,0.0295,-0.0594,-0.0495,4.327,1.741,1.037
below_zero,平量,额平,中位,4,2948,0.6072,0.0824,0.0275,-0.0509,-0.0435,5.894,1.62,0.984
below_zero,平量,额平,中位,1,321,0.6604,0.055,0.037,-0.0392,-0.0249,5.876,1.404,0.927
below_zero,爆量,额爆,中位,4,404,0.599,0.0935,0.0456,-0.062,-0.055,5.712,1.506,0.902
below_zero,缩量,额减,中位,?,2719,0.6624,0.0555,0.0359,-0.0435,-0.0295,4.924,1.275,0.845
below_zero,平量,额平,中位,?,6356,0.6377,0.0541,0.0333,-0.0485,-0.0325,4.56,1.116,0.712
below_zero,温量,额温,中位,?,1547,0.6193,0.0611,0.0302,-0.0545,-0.0399,4.527,1.121,0.694
below_zero,缩量,额减,中位,4,1084,0.5683,0.0593,0.0162,-0.0502,-0.0412,4.134,1.18,0.671
below_zero,温量,额温,高位,?,1610,0.6236,0.0466,0.0237,-0.0433,-0.0276,3.967,1.075,0.67
below_zero,平量,额平,深底,4,277,0.556,0.077,0.0224,-0.0691,-0.0619,4.897,1.115,0.62
below_zero,温量,额温,高位,1.5,607,0.57,0.0573,0.0166,-0.0551,-0.0429,1.282,1.039,0.593
below_zero,平量,额平,深底,?,401,0.6559,0.0541,0.0418,-0.062,-0.0435,4.47,0.873,0.572
below_zero,平量,额减,中位,?,304,0.6414,0.0418,0.0292,-0.0478,-0.0302,4.394,0.875,0.561
below_zero,缩量,额减,高位,1,650,0.6215,0.0313,0.0206,-0.0348,-0.0198,3.831,0.9,0.559
below_zero,温量,额温,中位,1.5,264,0.625,0.051,0.0287,-0.0594,-0.042,4.179,0.86,0.537
below_zero,缩量,额减,中位,3,516,0.6105,0.05,0.039,-0.0573,-0.0366,4.124,0.873,0.533
below_zero,平量,额平,高位,?,4356,0.6178,0.0343,0.0225,-0.0413,-0.0256,3.585,0.831,0.513
below_zero,平量,额平,中位,3,1652,0.6168,0.0475,0.0296,-0.0628,-0.0422,3.55,0.757,0.467
below_zero,缩量,额减,高位,?,1041,0.6129,0.0289,0.0182,-0.0395,-0.0247,3.325,0.732,0.448
below_zero,平量,额平,高位,1,336,0.5863,0.0294,0.0161,-0.0389,-0.0248,3.492,0.755,0.443
below_zero,爆量,额爆,高位,?,657,0.5662,0.0376,0.0167,-0.0507,-0.0341,3.388,0.742,0.42
below_zero,温量,额温,高位,3,543,0.6041,0.0379,0.0256,-0.056,-0.0341,3.262,0.676,0.408
below_zero,平量,额平,高位,2,2970,0.5788,0.0378,0.021,-0.0539,-0.0386,3.408,0.703,0.407
