dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,1000,0.722,0.0911,0.0651,-0.0337,-0.0192,10.477,2.704,1.952
below_zero,缩量,额减,高位,4,460,0.6891,0.0743,0.0354,-0.0348,-0.0253,8.592,2.137,1.473
below_zero,平量,额平,高位,4,1792,0.6696,0.0768,0.042,-0.0362,-0.0252,8.392,2.12,1.42
below_zero,缩量,额减,中位,1,831,0.7088,0.0557,0.0327,-0.0325,-0.0222,8.218,1.713,1.214
above_zero,平量,额平,新高,4,221,0.6471,0.0657,0.0439,-0.0381,-0.0195,8.016,1.725,1.116
above_zero,平量,额平,高位,4,495,0.6768,0.071,0.0377,-0.0445,-0.0311,7.657,1.596,1.08
below_zero,爆量,额爆,高位,4,508,0.6358,0.066,0.0386,-0.0439,-0.0283,7.054,1.505,0.957
below_zero,平量,额平,中位,1,338,0.7041,0.0466,0.0285,-0.0361,-0.0225,6.95,1.294,0.911
below_zero,缩量,额减,中位,?,2876,0.6704,0.0471,0.0282,-0.0373,-0.0257,6.19,1.26,0.845
below_zero,缩量,额减,中位,4,1106,0.5949,0.0571,0.0174,-0.0413,-0.0335,6.338,1.384,0.823
below_zero,温量,额温,中位,4,1150,0.6078,0.0621,0.0244,-0.0465,-0.0383,6.97,1.335,0.811
below_zero,平量,额平,中位,4,3068,0.602,0.0523,0.0171,-0.0436,-0.0365,6.33,1.201,0.723
above_zero,温量,额温,高位,4,272,0.5809,0.0636,0.0246,-0.0527,-0.0437,6.318,1.208,0.701
below_zero,平量,额平,中位,?,6854,0.6427,0.0428,0.0253,-0.0408,-0.0274,5.763,1.05,0.675
below_zero,平量,额平,深底,?,427,0.6651,0.0513,0.0383,-0.0533,-0.037,6.077,0.963,0.641
below_zero,平量,额减,中位,?,326,0.6626,0.038,0.0254,-0.0401,-0.0253,5.672,0.949,0.629
below_zero,温量,额温,高位,?,1639,0.5985,0.0379,0.016,-0.037,-0.0235,4.687,1.025,0.613
below_zero,缩量,额减,高位,1,689,0.6299,0.0264,0.0166,-0.0292,-0.0179,5.555,0.903,0.569
below_zero,温量,额温,中位,?,1681,0.605,0.043,0.0227,-0.0458,-0.0321,5.314,0.938,0.568
below_zero,缩量,额减,中位,3,538,0.6171,0.0413,0.0301,-0.0505,-0.033,5.069,0.819,0.505
below_zero,温量,额温,中位,1.5,281,0.6157,0.0402,0.032,-0.0499,-0.0378,5.979,0.804,0.495
below_zero,缩量,额减,高位,?,1076,0.6022,0.026,0.0164,-0.0326,-0.0208,4.32,0.797,0.48
below_zero,缩量,额减,深底,?,227,0.6344,0.0414,0.0246,-0.0577,-0.0392,5.27,0.718,0.456
below_zero,平量,额平,高位,?,4582,0.6078,0.0255,0.0156,-0.0345,-0.0216,4.448,0.741,0.451
below_zero,温量,额温,高位,1.5,627,0.5614,0.0351,0.0112,-0.0478,-0.0363,2.102,0.733,0.412
below_zero,爆量,额爆,中位,4,409,0.533,0.042,0.0088,-0.0546,-0.0467,4.898,0.771,0.411
below_zero,平量,额平,高位,1,346,0.5809,0.022,0.0104,-0.0313,-0.0195,4.29,0.703,0.409
below_zero,平量,额平,中位,3,1744,0.5946,0.0337,0.0212,-0.0552,-0.0373,4.089,0.611,0.363
below_zero,缩量,额减,高位,2,822,0.5657,0.0261,0.0112,-0.0417,-0.0321,4.34,0.627,0.355
below_zero,爆量,额爆,中位,1.5,276,0.5435,0.0395,0.0086,-0.0634,-0.0466,2.244,0.623,0.338
below_zero,爆量,额爆,高位,3,323,0.5511,0.0313,0.012,-0.0518,-0.0347,3.832,0.604,0.333
below_zero,平量,额平,高位,3,1415,0.5753,0.0225,0.0144,-0.0404,-0.026,3.654,0.557,0.32
below_zero,平量,额平,高位,2,3113,0.558,0.0255,0.0137,-0.0456,-0.0319,3.703,0.558,0.312
below_zero,爆量,额爆,高位,?,665,0.5549,0.0247,0.0094,-0.0452,-0.0306,3.648,0.546,0.303
below_zero,温量,额温,高位,3,544,0.5827,0.0251,0.0193,-0.0493,-0.0313,3.577,0.509,0.296
above_zero,温量,额温,新高,1.5,469,0.5181,0.0292,0.0042,-0.0513,-0.0367,3.19,0.57,0.295
below_zero,温量,额温,中位,3,868,0.5691,0.0321,0.0177,-0.0654,-0.0489,3.57,0.491,0.28
above_zero,温量,额温,新高,?,1006,0.5239,0.024,0.0057,-0.0508,-0.0371,2.824,0.473,0.248
below_zero,爆量,额爆,中位,?,482,0.5477,0.0242,0.0118,-0.0564,-0.0392,3.291,0.43,0.235
below_zero,平量,额平,深底,4,281,0.5018,0.0267,0.0016,-0.0582,-0.0519,3.419,0.459,0.23
above_zero,平量,额平,高位,?,1833,0.5325,0.02,0.0057,-0.0507,-0.0371,2.565,0.394,0.21
below_zero,爆量,额爆,高位,1.5,881,0.5255,0.0232,0.0069,-0.0588,-0.0455,2.562,0.394,0.207
below_zero,缩量,额减,高位,3,432,0.5718,0.0149,0.0133,-0.0422,-0.0259,2.995,0.352,0.202
above_zero,平量,额平,新高,?,1578,0.5101,0.0152,0.0025,-0.0482,-0.0343,2.088,0.315,0.161
below_zero,温量,额温,高位,2,1280,0.4898,0.0152,-0.0019,-0.0577,-0.0451,2.135,0.263,0.129
above_zero,温量,额温,高位,?,773,0.4787,0.0149,-0.0032,-0.0584,-0.0465,1.943,0.256,0.122
below_zero,爆量,额爆,高位,2,517,0.5029,0.0154,0.0011,-0.0632,-0.0478,1.903,0.243,0.122
above_zero,温量,额温,高位,1.5,400,0.4975,0.0144,-0.0004,-0.0595,-0.0467,2.12,0.242,0.121
above_zero,爆量,额爆,高位,1.5,359,0.4791,0.0131,-0.0074,-0.0621,-0.0515,1.637,0.211,0.101
above_zero,爆量,额爆,新高,1.5,1161,0.4651,0.0138,-0.0065,-0.0659,-0.0508,1.612,0.21,0.098
above_zero,爆量,额爆,新高,?,558,0.4839,0.011,-0.0029,-0.0575,-0.044,1.594,0.192,0.093
above_zero,平量,额平,新高,2,3556,0.4865,0.0121,-0.003,-0.0671,-0.0501,1.43,0.18,0.087
above_zero,平量,额平,中位,?,229,0.4498,0.0121,-0.0093,-0.0668,-0.0524,1.263,0.181,0.081
below_zero,爆量,额爆,中位,3,362,0.4945,0.0119,-0.0033,-0.0785,-0.064,1.461,0.151,0.075
below_zero,爆量,额爆,新高,1.5,298,0.4899,0.0092,-0.0022,-0.0615,-0.0512,1.291,0.15,0.073
