dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
above_zero,爆量,额爆,新高,2,1956,0.5077,0.0766,0.0028,-0.1195,-0.1067,1.019,0.641,0.325
below_zero,爆量,额爆,高位,2,480,0.5146,0.0681,0.0034,-0.1081,-0.0958,1.107,0.63,0.324
above_zero,温量,额温,高位,1.5,371,0.5256,0.0639,0.0101,-0.1073,-0.0942,1.069,0.596,0.313
above_zero,平量,额平,新高,2,2985,0.533,0.0628,0.0139,-0.1118,-0.0929,0.965,0.562,0.299
above_zero,温量,额温,高位,2,1436,0.4916,0.0728,-0.0034,-0.1306,-0.1202,0.966,0.557,0.274
above_zero,平量,额平,中位,3,331,0.4985,0.0822,-0.0014,-0.1511,-0.1432,1.007,0.544,0.271
above_zero,爆量,额爆,新高,?,531,0.4765,0.0527,-0.0074,-0.0994,-0.0875,0.989,0.53,0.252
above_zero,温量,额温,新高,2,2611,0.4868,0.063,-0.0055,-0.1237,-0.1067,0.88,0.509,0.248
above_zero,温量,额温,高位,?,739,0.5074,0.0533,0.0022,-0.1107,-0.1042,1.022,0.481,0.244
above_zero,平量,额平,高位,3,1481,0.4902,0.0595,-0.0035,-0.1313,-0.1275,0.848,0.453,0.222
above_zero,温量,额爆,新高,2,338,0.4763,0.055,-0.0122,-0.1435,-0.1144,0.74,0.383,0.183
above_zero,平量,额平,新高,3,1585,0.4568,0.0386,-0.0168,-0.1388,-0.1351,0.66,0.278,0.127
above_zero,爆量,额爆,高位,3,316,0.4589,0.0421,-0.0255,-0.1596,-0.1622,0.671,0.264,0.121
above_zero,温量,额爆,新高,3,225,0.4267,0.0494,-0.0287,-0.1775,-0.1798,0.633,0.278,0.119
above_zero,温量,额温,中位,3,218,0.4358,0.038,-0.0355,-0.1668,-0.1727,0.573,0.228,0.099
above_zero,温量,额温,新高,3,1588,0.4207,0.0317,-0.0281,-0.1564,-0.1496,0.485,0.203,0.085
above_zero,爆量,额爆,新高,3,1382,0.4088,0.033,-0.0394,-0.1616,-0.1636,0.467,0.204,0.083
above_zero,平量,额温,新高,2,467,0.4176,0.0256,-0.0234,-0.1578,-0.1466,0.37,0.162,0.068
above_zero,温量,额温,高位,3,877,0.4208,0.0153,-0.0364,-0.1584,-0.162,0.296,0.096,0.041
above_zero,平量,额温,新高,3,279,0.3943,0.0112,-0.0474,-0.1684,-0.1618,0.188,0.067,0.026
