dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,1002,0.5968,0.0474,0.0216,-0.0288,-0.0154,10.498,1.645,0.982
below_zero,缩量,额减,中位,1,846,0.695,0.0399,0.0307,-0.0289,-0.0196,11.624,1.379,0.959
above_zero,平量,额平,新高,4,223,0.6143,0.044,0.0292,-0.0318,-0.0149,10.056,1.385,0.851
below_zero,缩量,额减,中位,?,2941,0.663,0.0373,0.0277,-0.032,-0.0229,9.541,1.166,0.773
below_zero,缩量,额减,高位,4,465,0.6022,0.0366,0.0142,-0.0297,-0.0217,9.579,1.231,0.741
above_zero,平量,额平,高位,4,496,0.6169,0.0436,0.0237,-0.0373,-0.0257,9.6,1.169,0.721
below_zero,平量,额平,中位,1,341,0.6774,0.0326,0.0253,-0.0312,-0.0205,9.469,1.043,0.706
below_zero,平量,额平,高位,4,1810,0.5669,0.037,0.0123,-0.0316,-0.0213,8.584,1.171,0.664
below_zero,平量,额平,中位,?,6949,0.6191,0.0297,0.0206,-0.034,-0.0225,7.911,0.875,0.542
below_zero,平量,额平,深底,?,430,0.6279,0.0379,0.0249,-0.044,-0.0334,8.549,0.861,0.541
below_zero,缩量,额减,高位,1,711,0.6188,0.0203,0.0129,-0.0243,-0.0149,7.362,0.837,0.518
below_zero,平量,额减,中位,?,331,0.6737,0.0253,0.0234,-0.0337,-0.0226,8.336,0.75,0.505
below_zero,缩量,额减,中位,3,545,0.6183,0.033,0.0231,-0.0417,-0.0296,7.892,0.792,0.49
below_zero,温量,额温,中位,1.5,284,0.588,0.0317,0.0162,-0.041,-0.0322,8.073,0.773,0.454
below_zero,缩量,额减,高位,?,1107,0.6125,0.0193,0.0116,-0.0263,-0.0174,6.524,0.733,0.449
below_zero,缩量,额减,中位,4,1114,0.5458,0.0289,0.0069,-0.0352,-0.0287,6.627,0.821,0.448
below_zero,温量,额温,中位,?,1695,0.5882,0.0271,0.014,-0.0362,-0.024,6.93,0.749,0.44
above_zero,温量,额温,高位,4,272,0.5551,0.0344,0.011,-0.0447,-0.0343,6.52,0.769,0.427
