dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,爆量,额爆,高位,4,512,0.5332,0.027,0.007,-0.0377,-0.02,5.924,0.717,0.383
below_zero,温量,额温,高位,?,1650,0.5521,0.0208,0.008,-0.0305,-0.0192,5.846,0.682,0.376
below_zero,平量,额平,高位,1,354,0.5847,0.0159,0.0094,-0.0247,-0.0149,6.592,0.641,0.375
below_zero,缩量,额减,深底,?,227,0.5903,0.0313,0.0265,-0.05,-0.0336,6.992,0.626,0.37
below_zero,温量,额温,中位,4,1155,0.4857,0.0285,-0.0021,-0.0379,-0.0293,6.354,0.754,0.366
below_zero,平量,额平,中位,3,1765,0.5881,0.0267,0.0178,-0.0438,-0.0297,6.299,0.61,0.358
below_zero,平量,额平,高位,?,4637,0.5786,0.0163,0.0087,-0.0287,-0.0173,5.521,0.569,0.329
below_zero,平量,额平,中位,4,3084,0.5013,0.0239,0.0009,-0.0371,-0.0295,5.833,0.644,0.323
below_zero,缩量,额减,高位,2,839,0.5495,0.0196,0.0067,-0.0344,-0.0277,6.076,0.569,0.313
above_zero,平量,额平,高位,?,1835,0.5482,0.0207,0.0089,-0.0385,-0.0287,5.309,0.537,0.294
below_zero,平量,额平,高位,2,3162,0.5519,0.0173,0.0079,-0.0367,-0.025,4.845,0.471,0.26
above_zero,温量,额温,新高,1.5,470,0.517,0.0203,0.0037,-0.042,-0.0284,4.224,0.484,0.25
below_zero,缩量,额减,高位,3,435,0.5494,0.0143,0.0064,-0.0346,-0.0216,4.718,0.413,0.227
below_zero,爆量,额爆,中位,1.5,276,0.5616,0.0199,0.0103,-0.0509,-0.0358,3.59,0.392,0.22
below_zero,平量,额平,高位,3,1422,0.5605,0.013,0.0074,-0.0337,-0.0213,4.02,0.386,0.216
below_zero,温量,额温,高位,3,547,0.5521,0.015,0.0077,-0.0392,-0.0245,4.144,0.381,0.211
below_zero,温量,额温,中位,3,883,0.5368,0.0203,0.0089,-0.0528,-0.0394,4.476,0.384,0.206
below_zero,爆量,额爆,中位,4,409,0.4719,0.0198,-0.0058,-0.0456,-0.0347,3.97,0.433,0.205
below_zero,温量,额温,高位,1.5,635,0.5118,0.015,0.0023,-0.0392,-0.0303,2.697,0.383,0.196
above_zero,温量,额温,新高,?,1009,0.4945,0.0149,0.0,-0.0419,-0.029,3.36,0.355,0.176
above_zero,温量,额温,高位,1.5,400,0.49,0.0168,-0.0006,-0.0489,-0.04,3.528,0.344,0.168
below_zero,爆量,额爆,高位,3,325,0.5385,0.0116,0.006,-0.0441,-0.0277,3.251,0.264,0.142
below_zero,爆量,额爆,高位,?,665,0.4962,0.0103,0.0,-0.0385,-0.0257,3.005,0.267,0.133
above_zero,平量,额平,新高,?,1596,0.5244,0.0096,0.004,-0.0381,-0.0261,2.75,0.252,0.132
below_zero,爆量,额爆,高位,2,520,0.4808,0.0129,-0.0048,-0.0521,-0.0368,2.581,0.248,0.119
below_zero,爆量,额爆,中位,?,486,0.5123,0.0108,0.0026,-0.0487,-0.0323,2.729,0.221,0.113
above_zero,平量,额平,新高,2,3578,0.4986,0.0117,0.0,-0.054,-0.0378,2.53,0.217,0.108
above_zero,温量,额温,高位,?,774,0.4819,0.0095,-0.0037,-0.0472,-0.0377,2.323,0.201,0.097
above_zero,平量,额平,高位,3,1623,0.4732,0.0098,-0.0057,-0.0539,-0.0462,2.07,0.182,0.086
below_zero,温量,额温,高位,2,1292,0.4845,0.008,-0.0023,-0.0464,-0.0358,2.197,0.173,0.084
above_zero,平量,额平,中位,?,231,0.4892,0.0079,-0.0035,-0.0474,-0.0359,1.975,0.167,0.082
above_zero,缩量,额减,高位,3,212,0.4575,0.0073,-0.0076,-0.045,-0.037,1.825,0.162,0.074
above_zero,温量,额温,新高,2,3098,0.4584,0.0087,-0.0088,-0.0611,-0.0454,1.611,0.143,0.065
below_zero,爆量,额爆,高位,1.5,885,0.4576,0.0066,-0.0069,-0.0505,-0.0373,1.489,0.131,0.06
above_zero,爆量,额爆,新高,?,558,0.4749,0.0053,-0.003,-0.0471,-0.0322,1.327,0.112,0.053
above_zero,爆量,额爆,高位,?,217,0.4793,0.0042,-0.0022,-0.0418,-0.032,1.256,0.1,0.048
above_zero,爆量,额爆,高位,1.5,359,0.4401,0.0051,-0.01,-0.0514,-0.0415,1.293,0.1,0.044
above_zero,爆量,额爆,新高,2,2225,0.44,0.0062,-0.0115,-0.0637,-0.0489,1.154,0.097,0.043
above_zero,平量,额平,高位,2,3000,0.4687,0.004,-0.0064,-0.0555,-0.042,0.937,0.073,0.034
above_zero,爆量,额爆,新高,1.5,1163,0.4454,0.0036,-0.0105,-0.0554,-0.0426,0.825,0.065,0.029
above_zero,温量,额爆,新高,2,406,0.4631,0.0042,-0.0096,-0.0689,-0.0533,0.771,0.06,0.028
below_zero,平量,额平,深底,4,282,0.4291,0.0031,-0.0119,-0.0473,-0.0396,0.861,0.066,0.028
above_zero,缩量,额减,新高,2,331,0.423,0.004,-0.0223,-0.0617,-0.0437,0.665,0.065,0.027
above_zero,缩量,额减,高位,2,535,0.4598,0.0022,-0.0058,-0.0506,-0.0407,0.595,0.044,0.02
below_zero,爆量,额爆,新高,1.5,300,0.4433,0.002,-0.0084,-0.0539,-0.0397,0.487,0.038,0.017
above_zero,温量,额温,高位,2,1649,0.4384,0.0019,-0.0133,-0.063,-0.0494,0.382,0.029,0.013
above_zero,平量,额温,新高,2,573,0.4293,0.0014,-0.0194,-0.0727,-0.0609,0.251,0.019,0.008
below_zero,爆量,额爆,中位,3,363,0.4821,0.0003,-0.0073,-0.0652,-0.0537,0.064,0.004,0.002
above_zero,平量,额平,新高,3,1834,0.4248,-0.001,-0.0131,-0.0597,-0.0465,-0.231,-0.017,-0.007
above_zero,温量,额温,新高,3,1697,0.4013,-0.0027,-0.0214,-0.0703,-0.0573,-0.471,-0.038,-0.015
above_zero,爆量,额爆,新高,3,1441,0.3865,-0.0059,-0.0275,-0.0757,-0.0637,-0.995,-0.078,-0.03
above_zero,爆量,额爆,高位,2,631,0.42,-0.0067,-0.0179,-0.0668,-0.0521,-1.312,-0.1,-0.042
above_zero,温量,额温,高位,3,907,0.4234,-0.0073,-0.0162,-0.0694,-0.0608,-1.565,-0.105,-0.045
above_zero,温量,额爆,新高,3,235,0.4,-0.0091,-0.0216,-0.0809,-0.067,-1.633,-0.112,-0.045
above_zero,平量,额温,新高,3,295,0.3898,-0.0096,-0.0244,-0.0778,-0.0643,-1.768,-0.123,-0.048
above_zero,平量,额平,中位,3,375,0.4187,-0.0083,-0.0227,-0.0703,-0.0598,-1.829,-0.118,-0.05
above_zero,爆量,额爆,高位,3,318,0.3553,-0.0182,-0.0308,-0.0762,-0.0647,-3.768,-0.239,-0.085
above_zero,温量,额温,中位,3,242,0.3223,-0.0343,-0.0493,-0.0861,-0.0741,-6.093,-0.399,-0.129
