dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
above_zero,爆量,额爆,高位,1.5,359,0.4735,0.0025,-0.0023,-0.0325,-0.0212,1.712,0.078,0.037
above_zero,平量,额平,新高,3,1834,0.4678,0.0026,-0.0036,-0.0386,-0.0242,1.491,0.067,0.032
above_zero,爆量,额爆,新高,?,558,0.4534,0.0022,-0.0049,-0.0326,-0.0219,1.448,0.069,0.031
below_zero,温量,额温,高位,2,1297,0.4626,0.0013,-0.004,-0.0316,-0.0215,0.935,0.042,0.019
below_zero,缩量,额减,高位,3,436,0.4541,0.001,-0.0034,-0.0244,-0.0151,0.872,0.041,0.018
below_zero,爆量,额爆,高位,1.5,891,0.4366,0.0014,-0.0057,-0.0349,-0.0247,0.875,0.04,0.017
above_zero,平量,额平,高位,2,3017,0.467,0.0011,-0.0039,-0.0366,-0.0256,0.715,0.029,0.014
below_zero,爆量,额爆,新高,1.5,302,0.4536,0.0011,-0.0077,-0.0406,-0.0267,0.628,0.028,0.013
below_zero,爆量,额爆,中位,1.5,281,0.4306,0.0006,-0.0082,-0.038,-0.0278,0.364,0.015,0.006
above_zero,爆量,额爆,新高,3,1441,0.4122,0.0,-0.014,-0.0518,-0.0398,0.008,0.0,0.0
above_zero,缩量,额减,高位,2,537,0.4283,-0.0004,-0.0079,-0.0338,-0.024,-0.255,-0.01,-0.004
above_zero,温量,额温,新高,3,1698,0.4158,-0.002,-0.0121,-0.0466,-0.0318,-1.024,-0.043,-0.018
above_zero,温量,额温,高位,2,1658,0.4324,-0.0018,-0.01,-0.0417,-0.0304,-1.093,-0.044,-0.019
above_zero,爆量,额爆,高位,2,636,0.4355,-0.0023,-0.0088,-0.0437,-0.031,-1.301,-0.052,-0.023
above_zero,平量,额平,中位,3,376,0.4096,-0.0028,-0.0117,-0.0462,-0.0371,-1.553,-0.06,-0.025
above_zero,温量,额爆,新高,3,236,0.428,-0.0049,-0.0172,-0.0551,-0.0418,-2.277,-0.088,-0.038
above_zero,温量,额温,高位,3,909,0.4136,-0.0046,-0.0129,-0.0461,-0.0344,-2.801,-0.099,-0.041
above_zero,平量,额温,新高,3,295,0.3966,-0.0062,-0.0214,-0.052,-0.0401,-3.023,-0.12,-0.048
below_zero,爆量,额爆,中位,3,363,0.4105,-0.0062,-0.0133,-0.0476,-0.0361,-3.55,-0.13,-0.053
above_zero,温量,额温,中位,3,245,0.4,-0.0112,-0.0181,-0.0545,-0.0389,-5.936,-0.206,-0.082
above_zero,爆量,额爆,高位,3,318,0.3994,-0.0125,-0.0169,-0.0499,-0.0387,-7.232,-0.25,-0.1
