dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,1007,0.575,0.0507,0.0143,-0.0182,-0.0069,24.401,2.783,1.6
above_zero,平量,额平,新高,4,224,0.6161,0.0471,0.0179,-0.0189,-0.0054,22.045,2.495,1.537
below_zero,温量,额温,中位,4,1162,0.5155,0.0409,0.0026,-0.0241,-0.0161,16.817,1.696,0.874
below_zero,平量,额平,高位,4,1817,0.5146,0.028,0.0026,-0.0209,-0.0124,15.821,1.336,0.687
below_zero,缩量,额减,高位,4,468,0.515,0.0243,0.0013,-0.0194,-0.0128,14.322,1.252,0.645
below_zero,爆量,额爆,高位,4,515,0.532,0.0284,0.004,-0.0252,-0.0123,14.315,1.13,0.601
below_zero,爆量,额爆,中位,4,411,0.5377,0.0322,0.0067,-0.0302,-0.0189,13.494,1.065,0.573
above_zero,平量,额平,高位,4,496,0.5464,0.0236,0.0062,-0.0263,-0.0166,13.607,0.896,0.489
above_zero,温量,额温,高位,4,272,0.5331,0.0241,0.0054,-0.03,-0.0216,9.983,0.804,0.429
below_zero,温量,额温,高位,?,1659,0.5214,0.0165,0.0024,-0.0202,-0.0108,11.299,0.816,0.425
below_zero,缩量,额减,中位,1,849,0.5465,0.0152,0.0058,-0.0214,-0.0142,11.145,0.712,0.389
below_zero,温量,额温,中位,?,1712,0.535,0.0177,0.0042,-0.0249,-0.0154,11.089,0.711,0.381
below_zero,缩量,额减,高位,1,720,0.5111,0.0109,0.0012,-0.0162,-0.0091,9.203,0.671,0.343
below_zero,平量,额平,中位,4,3096,0.4835,0.0171,-0.0013,-0.0244,-0.0181,10.18,0.701,0.339
below_zero,温量,额温,中位,1.5,287,0.5052,0.0164,0.0018,-0.029,-0.0211,9.551,0.567,0.286
below_zero,平量,额平,中位,1,342,0.5117,0.0121,0.0024,-0.0218,-0.0144,10.03,0.556,0.284
below_zero,平量,额平,中位,?,7008,0.536,0.0116,0.0043,-0.0235,-0.0153,8.935,0.495,0.265
below_zero,平量,额平,深底,?,432,0.5648,0.0145,0.008,-0.033,-0.0214,8.539,0.44,0.249
above_zero,缩量,额减,高位,3,212,0.5,0.0138,0.0003,-0.0278,-0.0193,8.98,0.498,0.249
below_zero,平量,额平,高位,1,358,0.4777,0.0087,0.0,-0.0175,-0.0099,7.893,0.497,0.237
below_zero,缩量,额减,中位,4,1118,0.4597,0.0124,-0.0024,-0.0242,-0.0188,8.045,0.512,0.235
below_zero,缩量,额减,中位,?,2958,0.5237,0.0101,0.0031,-0.023,-0.0164,8.674,0.439,0.23
above_zero,平量,额平,高位,?,1838,0.5218,0.0108,0.0031,-0.0254,-0.0168,7.951,0.424,0.221
above_zero,温量,额温,新高,1.5,471,0.4989,0.0111,0.0,-0.0269,-0.0163,6.962,0.414,0.206
above_zero,平量,额平,新高,?,1597,0.5172,0.0088,0.0017,-0.0223,-0.0138,7.026,0.393,0.204
below_zero,平量,额平,高位,?,4668,0.518,0.0067,0.0021,-0.0198,-0.0111,6.155,0.337,0.175
below_zero,缩量,额减,中位,3,546,0.5293,0.0098,0.0031,-0.0296,-0.02,6.739,0.331,0.175
below_zero,爆量,额爆,高位,3,327,0.4954,0.0106,0.0,-0.0308,-0.0218,6.943,0.343,0.17
below_zero,平量,额平,中位,3,1771,0.524,0.0095,0.0028,-0.0303,-0.0197,6.589,0.314,0.164
above_zero,温量,额温,新高,?,1014,0.4882,0.0086,-0.0002,-0.0271,-0.0171,5.747,0.316,0.154
below_zero,缩量,额减,高位,?,1110,0.518,0.005,0.0015,-0.0188,-0.0127,5.565,0.263,0.136
above_zero,平量,额平,中位,?,231,0.4978,0.0067,0.0,-0.0291,-0.02,5.029,0.23,0.115
below_zero,爆量,额爆,高位,?,668,0.4925,0.0064,0.0,-0.0278,-0.0152,4.342,0.229,0.113
above_zero,缩量,额减,新高,2,333,0.4985,0.0092,0.0,-0.0423,-0.025,4.432,0.217,0.108
below_zero,平量,额平,高位,2,3179,0.5039,0.005,0.0009,-0.0256,-0.017,4.245,0.197,0.099
above_zero,平量,额平,高位,3,1623,0.464,0.0069,-0.0039,-0.0345,-0.0256,4.359,0.201,0.093
below_zero,平量,额平,深底,4,284,0.4472,0.0061,-0.0039,-0.0311,-0.0246,3.95,0.196,0.087
above_zero,平量,额平,新高,2,3602,0.4903,0.0062,-0.0003,-0.0356,-0.0229,3.72,0.173,0.085
below_zero,温量,额温,高位,1.5,636,0.4638,0.0049,-0.0042,-0.0273,-0.0186,3.503,0.181,0.084
below_zero,温量,额温,中位,3,894,0.4855,0.0065,-0.0009,-0.0376,-0.0243,3.931,0.172,0.083
below_zero,爆量,额爆,中位,?,494,0.4615,0.0058,-0.0037,-0.0329,-0.0228,3.277,0.175,0.081
below_zero,温量,额温,高位,3,548,0.5,0.0042,0.0002,-0.027,-0.0148,3.31,0.156,0.078
below_zero,爆量,额爆,高位,2,525,0.4724,0.0056,-0.0042,-0.035,-0.0242,3.085,0.158,0.075
below_zero,缩量,额减,深底,?,229,0.4629,0.0055,-0.004,-0.0345,-0.0222,3.263,0.16,0.074
above_zero,平量,额温,新高,2,578,0.4567,0.0077,-0.0058,-0.0478,-0.0326,3.559,0.16,0.073
above_zero,温量,额温,高位,1.5,401,0.4564,0.0049,-0.0048,-0.0341,-0.0248,3.023,0.142,0.065
above_zero,爆量,额爆,高位,?,217,0.4747,0.0039,-0.0016,-0.0283,-0.0196,3.021,0.138,0.065
below_zero,缩量,额减,高位,2,844,0.468,0.003,-0.0029,-0.0242,-0.0176,2.678,0.123,0.058
below_zero,平量,额平,高位,3,1426,0.4804,0.0025,0.0,-0.0227,-0.0128,2.51,0.112,0.054
above_zero,温量,额温,新高,2,3108,0.4607,0.0046,-0.005,-0.0407,-0.0278,2.477,0.113,0.052
below_zero,平量,额减,中位,?,334,0.482,0.0025,-0.0011,-0.0247,-0.0174,2.364,0.102,0.049
above_zero,温量,额爆,新高,2,408,0.4632,0.0042,-0.0054,-0.0461,-0.0323,2.182,0.092,0.043
above_zero,温量,额温,高位,?,776,0.4472,0.0029,-0.0039,-0.0311,-0.0202,1.887,0.094,0.042
above_zero,爆量,额爆,新高,1.5,1165,0.4446,0.0032,-0.0087,-0.0385,-0.0267,1.763,0.083,0.037
above_zero,爆量,额爆,新高,2,2231,0.4523,0.0036,-0.0072,-0.0442,-0.0299,1.761,0.081,0.037
