dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,温量,额温,高位,4,968,0.845,0.2489,0.2211,-0.0442,-0.0229,4.764,5.63,4.757
below_zero,平量,额平,高位,4,1672,0.7955,0.2176,0.1904,-0.0492,-0.0335,4.544,4.422,3.518
below_zero,爆量,额爆,高位,4,483,0.7847,0.2352,0.1985,-0.0579,-0.0354,4.565,4.061,3.187
below_zero,缩量,额减,高位,4,438,0.7237,0.1739,0.1269,-0.0483,-0.0329,4.218,3.599,2.605
above_zero,平量,额平,新高,4,217,0.7235,0.1756,0.128,-0.0557,-0.0275,3.322,3.152,2.28
below_zero,温量,额温,中位,4,1091,0.7589,0.1956,0.1626,-0.0673,-0.0548,4.735,2.906,2.205
below_zero,爆量,额爆,中位,4,389,0.7198,0.1803,0.1682,-0.0747,-0.0642,4.552,2.415,1.738
below_zero,平量,额平,中位,4,2842,0.7175,0.16,0.0988,-0.0668,-0.0558,3.837,2.394,1.718
above_zero,平量,额平,高位,4,491,0.6823,0.1642,0.0854,-0.0671,-0.0464,3.164,2.445,1.668
below_zero,缩量,额减,中位,4,1027,0.6972,0.1504,0.073,-0.0665,-0.0554,3.006,2.263,1.578
below_zero,平量,额平,中位,1,274,0.7664,0.099,0.0701,-0.049,-0.0295,3.46,2.018,1.546
below_zero,缩量,额减,中位,1,703,0.7525,0.0999,0.0646,-0.0495,-0.0276,3.341,2.018,1.519
above_zero,温量,额温,高位,4,269,0.5985,0.1671,0.068,-0.0787,-0.0641,2.575,2.124,1.271
below_zero,温量,额温,高位,?,1506,0.6521,0.0831,0.0492,-0.0552,-0.0354,2.628,1.505,0.982
below_zero,温量,额温,中位,?,1412,0.6622,0.1044,0.0627,-0.0711,-0.0541,2.774,1.469,0.972
below_zero,缩量,额减,中位,?,2563,0.6898,0.0822,0.0526,-0.0585,-0.0387,2.598,1.404,0.969
below_zero,温量,额温,中位,1.5,245,0.6612,0.1086,0.066,-0.0756,-0.0553,2.585,1.437,0.95
below_zero,平量,额减,中位,?,282,0.6454,0.0842,0.0434,-0.0607,-0.0388,2.566,1.387,0.895
below_zero,平量,额平,中位,?,5860,0.6657,0.0861,0.0545,-0.0646,-0.0433,2.621,1.332,0.887
below_zero,温量,额温,高位,1.5,571,0.5902,0.0948,0.0303,-0.069,-0.0502,1.13,1.374,0.811
below_zero,平量,额平,深底,4,272,0.6176,0.127,0.0689,-0.0972,-0.0876,2.882,1.307,0.807
below_zero,爆量,额爆,高位,?,587,0.6048,0.0796,0.0336,-0.0629,-0.0424,2.357,1.266,0.766
below_zero,平量,额平,高位,?,4019,0.6263,0.0632,0.0343,-0.053,-0.034,2.206,1.192,0.747
below_zero,爆量,额爆,中位,?,414,0.6473,0.0911,0.0512,-0.0795,-0.0557,2.483,1.147,0.742
below_zero,缩量,额减,高位,1,594,0.6431,0.0498,0.0242,-0.0435,-0.0241,2.41,1.143,0.735
below_zero,温量,额温,高位,3,510,0.6255,0.0781,0.0384,-0.0665,-0.0414,2.291,1.175,0.735
below_zero,缩量,额减,中位,3,485,0.6639,0.0806,0.0515,-0.073,-0.0448,2.592,1.104,0.733
below_zero,缩量,额减,高位,?,986,0.641,0.0571,0.0323,-0.0513,-0.033,2.098,1.113,0.713
below_zero,缩量,额减,高位,2,775,0.6439,0.0666,0.04,-0.0625,-0.0455,2.508,1.066,0.686
below_zero,平量,额平,高位,2,2808,0.6075,0.0739,0.0299,-0.0681,-0.0532,1.547,1.084,0.659
below_zero,平量,额平,高位,3,1314,0.6377,0.0602,0.0365,-0.0587,-0.037,2.111,1.027,0.655
below_zero,平量,额平,深底,?,349,0.639,0.0851,0.049,-0.0878,-0.0578,2.377,0.97,0.62
below_zero,平量,额平,中位,3,1530,0.617,0.0781,0.0484,-0.0824,-0.0549,2.15,0.949,0.586
below_zero,爆量,额爆,中位,1.5,251,0.5817,0.0926,0.0338,-0.0922,-0.0758,1.912,1.005,0.585
below_zero,爆量,额爆,高位,1.5,801,0.5868,0.0763,0.0239,-0.0785,-0.0634,2.174,0.972,0.57
below_zero,爆量,额爆,高位,3,296,0.6318,0.0635,0.0389,-0.0707,-0.0501,2.415,0.898,0.567
below_zero,平量,额平,高位,1,303,0.5974,0.0459,0.0227,-0.0492,-0.0312,2.091,0.933,0.557
below_zero,缩量,额减,高位,3,402,0.6592,0.0475,0.036,-0.0578,-0.0325,2.028,0.821,0.541
below_zero,温量,额温,中位,3,757,0.5971,0.0816,0.0433,-0.0984,-0.0778,2.156,0.829,0.495
below_zero,爆量,额爆,新高,1.5,258,0.5465,0.0694,0.0249,-0.0796,-0.0675,1.49,0.872,0.476
above_zero,温量,额温,新高,1.5,440,0.5477,0.0627,0.0149,-0.0767,-0.0598,1.755,0.817,0.448
below_zero,爆量,额爆,中位,3,325,0.5538,0.0775,0.0283,-0.1029,-0.0836,1.647,0.752,0.417
below_zero,温量,额温,高位,2,1193,0.5339,0.0601,0.0115,-0.0861,-0.0735,1.766,0.697,0.372
above_zero,温量,额温,新高,?,976,0.4959,0.0581,-0.0018,-0.0785,-0.0642,1.441,0.74,0.367
