dif_sign,vol_bin,amt_bin,p60_bin,stage,n,win_rate,avg_ret,med_ret,avg_dd,med_dd,sharpe,calmar,score
below_zero,爆量,额爆,高位,2,497,0.5191,0.0573,0.0111,-0.0919,-0.0785,1.701,0.624,0.324
above_zero,爆量,额爆,新高,1.5,1090,0.4982,0.0586,0.0,-0.0926,-0.0804,1.555,0.633,0.315
above_zero,平量,额平,高位,?,1801,0.5064,0.0465,0.0029,-0.0856,-0.0713,1.308,0.543,0.275
above_zero,平量,额平,新高,?,1514,0.5013,0.041,0.0013,-0.077,-0.0646,1.313,0.532,0.267
above_zero,爆量,额爆,高位,?,215,0.507,0.0481,0.0029,-0.0912,-0.0857,1.631,0.527,0.267
above_zero,缩量,额减,新高,2,317,0.5016,0.0506,0.0011,-0.1132,-0.0899,1.136,0.447,0.224
above_zero,爆量,额爆,新高,2,2096,0.4733,0.0489,-0.0099,-0.1107,-0.0966,1.121,0.441,0.209
above_zero,缩量,额减,高位,2,511,0.5166,0.0389,0.009,-0.0985,-0.0775,1.202,0.395,0.204
above_zero,温量,额温,高位,1.5,392,0.5102,0.036,0.003,-0.0905,-0.0737,1.247,0.398,0.203
above_zero,爆量,额爆,高位,2,602,0.4502,0.0502,-0.0181,-0.1204,-0.1077,1.037,0.417,0.188
above_zero,爆量,额爆,高位,1.5,349,0.4556,0.0396,-0.0152,-0.099,-0.081,1.078,0.4,0.182
above_zero,平量,额平,高位,2,2775,0.4811,0.0386,-0.0047,-0.1103,-0.0927,1.049,0.35,0.168
above_zero,温量,额温,新高,2,2902,0.4624,0.0391,-0.0139,-0.1127,-0.0972,0.993,0.347,0.16
above_zero,平量,额平,新高,2,3352,0.4803,0.0337,-0.0077,-0.1037,-0.0872,0.954,0.325,0.156
above_zero,爆量,额爆,新高,?,547,0.4589,0.0281,-0.0161,-0.0905,-0.0776,0.942,0.31,0.142
above_zero,温量,额温,高位,2,1540,0.4597,0.0359,-0.0158,-0.1204,-0.107,0.951,0.298,0.137
above_zero,平量,额平,中位,?,227,0.4758,0.0321,-0.0066,-0.1132,-0.0911,0.979,0.283,0.135
above_zero,温量,额温,高位,?,764,0.4424,0.0279,-0.015,-0.098,-0.0853,0.846,0.284,0.126
above_zero,平量,额平,高位,3,1592,0.4742,0.0286,-0.0097,-0.1171,-0.1067,0.798,0.244,0.116
above_zero,平量,额平,中位,3,354,0.4379,0.029,-0.0246,-0.1398,-0.132,0.74,0.207,0.091
above_zero,缩量,额减,高位,3,209,0.4689,0.0181,-0.007,-0.1106,-0.0954,0.572,0.164,0.077
above_zero,温量,额爆,新高,2,383,0.4282,0.0214,-0.0277,-0.1327,-0.1115,0.528,0.162,0.069
above_zero,平量,额温,新高,2,532,0.4286,0.0119,-0.0272,-0.1425,-0.135,0.294,0.084,0.036
above_zero,爆量,额爆,高位,3,317,0.4069,0.0089,-0.0456,-0.1466,-0.145,0.235,0.06,0.025
above_zero,平量,额平,新高,3,1784,0.3907,0.0028,-0.0383,-0.1267,-0.1212,0.079,0.022,0.009
above_zero,温量,额温,中位,3,235,0.4043,-0.0003,-0.0258,-0.1557,-0.1566,-0.008,-0.002,-0.001
above_zero,爆量,额爆,新高,3,1424,0.3392,-0.0141,-0.0696,-0.1521,-0.1538,-0.349,-0.092,-0.031
above_zero,温量,额温,新高,3,1664,0.3642,-0.0123,-0.0571,-0.1409,-0.1331,-0.349,-0.087,-0.032
above_zero,温量,额爆,新高,3,230,0.3261,-0.0186,-0.0903,-0.1614,-0.1626,-0.45,-0.115,-0.038
above_zero,温量,额温,高位,3,902,0.3725,-0.0147,-0.0562,-0.1412,-0.1447,-0.453,-0.104,-0.039
above_zero,平量,额温,新高,3,291,0.3333,-0.0214,-0.074,-0.1492,-0.1454,-0.653,-0.143,-0.048
