code,name,industry,archetype,holder_chg,n,win_rate,avg_ret,avg_dd,calmar,score,avg_vol_r20,avg_amt_r20,avg_price60,avg_dif_val,macd_combo,holding_days
300506,ST名家汇,未知,周期/事件驱动型,0.0,2,1.0,0.41535893729781814,0.0,83.07178745956362,83.07178745956362,1.6212979403385068,1.6805516870715635,0.44084090497269035,-0.2710658706744562,S,10
300502,新易盛,通信,周期/事件驱动型,0.0011074125820096964,2,1.0,0.3351045369127458,0.0,67.02090738254915,67.02090738254915,1.413316915854688,1.339204163345108,0.5728262641526736,-3.3492681028736015,S,10
688037,芯源微,电子,周期/事件驱动型,-0.0237468671679198,4,1.0,0.33027647420708667,0.0,66.05529484141734,66.05529484141734,1.4959162774324732,1.498254040493317,0.48336780473921914,-14.734766344979622,S,10
002892,科力尔,电力设备,周期/事件驱动型,-0.07173241117605655,2,1.0,0.22641639530952515,0.0,45.28327906190503,45.28327906190503,1.94000692546709,1.9534534943286426,0.44682525151175456,-3.428374418985733,S,10
688670,金迪克,医药生物,周期/事件驱动型,0.48066682102338504,2,1.0,0.2261398623279099,0.0,45.22797246558198,45.22797246558198,1.7426109340026326,1.7578939341914999,0.5128171573424312,-3.5920035272443407,S,10
300765,新诺威,医药生物,周期/事件驱动型,0.0744745874277117,2,1.0,0.22612990682009854,0.0,45.22598136401971,45.22598136401971,1.3661676268950615,1.3683523031994929,0.502369966807128,-2.3717989835286915,S,10
301208,中亦科技,计算机,周期/事件驱动型,-0.1350576328366601,2,1.0,0.18555157885468418,0.0,37.110315770936836,37.110315770936836,2.493033123298149,2.317007850155747,0.5486155442183058,-5.216331966402109,S,10
603348,文灿股份,汽车,周期/事件驱动型,-0.09819282471289949,2,1.0,0.18093767324266674,0.0,36.18753464853335,36.18753464853335,1.9773235628848214,1.908443848297571,0.5512456525105575,-2.409802051897417,S,10
688691,灿芯股份,电子,周期/事件驱动型,0.4368100326768524,2,0.5,0.3243354668329849,0.0,64.86709336659698,32.43354668329849,1.8841893006825896,1.767084921913665,0.5987673603139703,-2.395199982254553,S,10
002657,中科金财,计算机,周期/事件驱动型,0.0,2,1.0,0.16214465878583179,0.0,32.42893175716635,32.42893175716635,2.0112273682206574,1.95041832877674,0.5814574809906798,-0.8789407824869064,S,10
