holding_days,stock_count,signal_count,median_calmar,median_win_rate,median_return,median_max_dd
5,5150,199679,0.2907944506652845,0.5365853658536586,0.011403014245008352,-0.03911318818835916
10,5150,199240,0.25327629374864025,0.53125,0.014265716273414423,-0.05565951157953794
15,5146,198068,0.2449386202315119,0.5319148936170213,0.017069668827402924,-0.06933374022551349
20,5143,195812,0.26365385464261,0.5277777777777778,0.021070498479060375,-0.08077024022581829
30,5140,193837,0.24756221351217642,0.5135135135135135,0.023694338087540033,-0.0998879309037265
40,5136,191636,0.2327672163359979,0.5,0.025727795677578307,-0.11372217965812233
60,5131,187440,0.2766628701104104,0.5121951219512195,0.036157982769168165,-0.13677416767448466
